,INF_ALL,TG,HU,RR,FG
2013-09-29,1.0,216.85714285714286,65.68253968253968,16.206349206349206,29.98412698412698
2013-10-06,1.0,208.26984126984127,68.73809523809524,25.285714285714285,29.206349206349202
2013-10-13,0.0,170.11111111111111,61.19047619047618,1.2857142857142856,21.587301587301585
2013-10-20,1.0,185.3809523809524,68.61904761904762,7.460317460317461,25.063492063492063
2013-10-27,0.0,174.76190476190476,73.92063492063492,43.92063492063492,33.76190476190476
2013-11-03,1.0,137.46031746031747,63.82539682539683,9.825396825396826,29.523809523809526
2013-11-10,0.0,151.30158730158732,68.34920634920634,22.682539682539684,42.23809523809524
2013-11-17,3.0,111.53968253968254,68.69841269841271,55.74603174603175,37.96825396825397
2013-11-24,6.0,74.60317460317461,67.42857142857143,21.46031746031746,43.333333333333336
2013-12-01,11.0,58.15873015873016,62.82539682539683,3.571428571428571,36.79365079365079
2013-12-08,28.0,74.26984126984127,66.06349206349206,0.0,20.6031746031746
2013-12-15,46.0,78.38095238095238,69.53968253968254,6.492063492063492,24.507936507936506
2013-12-22,46.0,78.82539682539682,71.46031746031746,20.03174603174603,27.317460317460316
2013-12-29,83.0,87.74603174603175,73.84126984126983,39.76190476190476,44.698412698412696
2014-01-05,243.0,96.1904761904762,75.61904761904762,35.664021164021165,34.74603174603175
2014-01-12,492.0,104.34920634920634,73.52380952380952,5.73015873015873,25.666666666666668
2014-01-19,494.0,84.76190476190476,77.9047619047619,41.523809523809526,34.73015873015873
2014-01-26,361.0,94.0,71.4126984126984,41.539682539682545,42.95238095238095
2014-02-02,241.0,78.55555555555556,69.84126984126983,33.80952380952381,46.301587301587304
2014-02-09,163.0,86.93650793650794,72.42857142857143,36.095238095238095,50.98412698412699
2014-02-16,120.0,95.03174603174602,72.68253968253968,24.301587301587304,45.57142857142857
2014-02-23,70.0,88.15873015873017,66.5873015873016,10.920634920634921,36.74603174603175
2014-03-02,37.0,98.03174603174602,72.17460317460318,47.61904761904762,45.06349206349206
2014-03-09,26.0,112.9047619047619,61.285714285714285,9.984126984126982,43.698412698412696
2014-03-16,23.0,115.50793650793649,58.0,4.444444444444445,26.412698412698415
2014-03-23,12.0,126.68253968253968,63.03174603174604,6.857142857142858,31.492063492063494
2014-03-30,12.0,99.6984126984127,66.57142857142857,38.761904761904766,48.285714285714285
2014-04-06,7.0,135.84126984126982,70.34920634920634,29.555555555555557,39.96825396825397
2014-04-13,4.0,166.12698412698413,63.93650793650794,3.904761904761905,27.50793650793651
2014-04-20,3.0,168.12698412698413,61.22222222222222,15.666666666666666,25.904761904761905
2014-04-27,1.0,140.55555555555554,67.39682539682539,27.22222222222222,37.80952380952381
2014-05-04,1.0,164.41269841269843,56.15873015873016,4.920634920634921,35.682539682539684
2014-05-11,1.0,190.28571428571428,56.920634920634924,0.873015873015873,28.95238095238095
2014-05-18,0.0,175.23809523809524,48.93650793650794,0.9523809523809523,34.39682539682539
2014-05-25,0.0,152.1904761904762,62.460317460317455,32.26984126984127,42.73015873015873
2014-06-01,0.0,167.0793650793651,60.111111111111114,15.396825396825395,37.111111111111114
2014-06-08,0.0,199.06349206349208,54.55555555555556,0.746031746031746,37.650793650793645
2014-06-15,0.0,226.11111111111111,51.460317460317455,2.0793650793650795,31.80952380952381
2014-06-22,0.0,214.57142857142856,53.0952380952381,5.65079365079365,31.539682539682538
2014-06-29,0.0,209.06349206349205,58.58730158730158,18.444444444444443,32.76190476190476
2014-07-06,0.0,209.88888888888889,60.6984126984127,30.603174603174605,32.301587301587304
2014-07-13,0.0,210.984126984127,52.80952380952381,4.4603174603174605,38.285714285714285
2014-07-20,0.0,244.25396825396825,53.87301587301587,4.015873015873016,35.04761904761905
2014-07-27,0.0,243.96825396825398,53.25396825396825,1.952380952380952,26.984126984126984
2014-08-03,0.0,234.31746031746036,56.2063492063492,4.9523809523809526,32.476190476190474
2014-08-10,0.0,244.55555555555554,57.98412698412699,1.2063492063492065,29.301587301587304
