,NumValue,TG,HU,RR,FG
2008-01-01,17.0,90.86021505376344,74.63082437275985,13.340501792114695,28.311827956989248
2008-02-01,12.0,102.82375478927203,72.48659003831418,15.088122605363985,30.697318007662837
2008-03-01,13.0,110.168458781362,61.0752688172043,13.365113500597372,43.6989247311828
2008-04-01,12.0,137.52222222222224,62.040740740740745,26.822222222222223,37.88148148148148
2008-05-01,16.0,159.81362007168457,68.61170848267622,41.94265232974911,32.086021505376344
2008-06-01,33.0,202.95925925925926,59.903703703703705,13.27037037037037,31.21111111111111
2008-07-01,25.0,231.81003584229393,55.01433691756272,6.243727598566308,31.935483870967744
2008-08-01,35.0,236.27240143369175,55.1626045400239,5.175627240143369,28.978494623655916
2008-09-01,26.0,196.47407407407408,62.0,15.225925925925926,28.52592592592593
2008-10-01,32.0,151.55555555555554,71.38351254480287,47.505376344086024,28.86021505376344
2008-11-01,21.0,91.42962962962963,72.39259259259259,20.229629629629628,31.214814814814815
2008-12-01,16.0,71.40143369175627,75.84946236559139,24.52329749103943,33.641577060931894
2009-01-01,25.0,68.34767025089606,75.31899641577061,26.379928315412187,35.111111111111114
2009-02-01,14.0,84.05952380952381,68.87698412698413,18.912698412698415,32.12301587301587
2009-03-01,26.0,115.24372759856631,59.72401433691756,15.189127837514933,34.4910394265233
2009-04-01,20.0,123.81481481481481,62.47471264367817,21.762962962962963,36.096296296296295
2009-05-01,21.0,179.76702508960574,56.16129032258064,8.118279569892472,34.10394265232975
2009-06-01,31.0,222.48148148148147,55.199999999999996,5.374074074074074,32.099999999999994
2009-07-01,31.0,241.2114695340502,51.11469534050179,5.949820788530466,34.81720430107527
2009-08-01,35.0,249.3942652329749,53.40501792114695,7.5089605734767035,28.827956989247312
2009-09-01,47.0,206.5814814814815,60.898102536033576,21.557201646090537,27.0957671957672
2009-10-01,35.0,176.4551971326165,64.99814151068631,16.38124253285544,28.392217101894524
2009-11-01,18.0,127.16666666666667,70.05648148148148,18.138186462324395,37.28796296296296
2009-12-01,14.0,81.5663082437276,75.00358422939068,42.36917562724014,37.1146953405018
2010-01-01,22.0,69.26164874551972,75.69534050179212,30.680286738351256,36.842293906810035
2010-02-01,15.0,76.25,72.39682539682539,36.14285714285714,37.476190476190474
2010-03-01,11.0,98.13261648745521,66.84229390681004,19.731182795698924,39.07885304659498
2010-04-01,23.0,139.78518518518518,66.0962962962963,17.692592592592593,30.585185185185182
2010-05-01,20.0,157.23655913978493,59.978494623655905,15.050179211469533,38.13620071684588
2010-06-01,19.0,202.80370370370372,59.599999999999994,18.02592592592593,31.79259259259259
2010-07-01,40.0,250.02508960573473,53.75985663082437,4.204301075268817,31.060931899641577
2010-08-01,37.0,244.20071684587816,54.70609318996416,8.071684587813621,30.591397849462364
2010-09-01,30.0,205.78518518518518,61.842328042328035,10.707407407407407,27.659259259259258
2010-10-01,32.0,150.4516129032258,64.89605734767025,25.70609318996416,32.376344086021504
2010-11-01,32.0,101.0,71.71851851851852,27.04444444444444,34.422222222222224
2010-12-01,35.0,76.15053763440861,72.52688172043011,36.92831541218638,32.74910394265233
2011-01-01,40.0,76.26523297491039,75.11469534050178,13.336917562724015,28.157706093189965
2011-02-01,17.0,92.78174603174604,67.01190476190476,15.738095238095237,33.650793650793645
2011-03-01,14.0,104.61648745519713,70.0015531660693,31.35483870967742,35.12544802867384
2011-04-01,11.0,158.54444444444445,63.900000000000006,25.151851851851852,32.05925925925926
2011-05-01,26.0,184.0,62.68817204301076,17.279569892473116,28.519713261648747
2011-06-01,32.0,208.7037037037037,58.196296296296296,8.440740740740742,30.785185185185185
2011-07-01,33.0,228.64157706093192,54.82437275985663,8.014336917562723,33.229390681003586
2011-08-01,52.0,242.3189964157706,56.2258064516129,6.6164874551971335,29.053763440860216
2011-09-01,42.0,218.1037037037037,57.39259259259259,9.31851851851852,24.470370370370368
2011-10-01,53.0,172.51971326164875,62.50179211469534,13.641577060931901,26.594982078853047
2011-11-01,38.0,122.38148148148149,78.92222222222223,43.82592592592593,30.062962962962963
2011-12-01,25.0,88.98566308243727,70.6594982078853,10.096774193548386,32.329749103942646
2012-01-01,32.0,77.98566308243727,72.48028673835125,12.580645161290322,27.68458781362007
2012-02-01,22.0,59.996168582375475,57.0,5.230706075533662,36.73563218390805
2012-03-01,24.0,114.79211469534052,57.36559139784946,9.186379928315413,30.77777777777778
2012-04-01,19.0,119.6148148148148,68.08518518518518,31.848148148148148,41.17407407407407
2012-05-01,26.0,180.69175627240145,57.483870967741936,10.78136200716846,34.60931899641577
2012-06-01,24.0,223.60000000000002,53.833333333333336,6.6037037037037045,34.71851851851852
2012-07-01,47.0,235.38351254480287,52.028673835125446,3.3405017921146953,32.21146953405018
2012-08-01,63.0,249.49462365591398,51.8100358422939,3.4372759856630823,31.150537634408597
