,NumValue,TG,HU,RR,FG
2008-01-01,0.0,78.17972350230414,79.20430107526882,21.65437788018433,23.483870967741936
2008-02-01,0.0,82.44827586206897,73.96551724137932,8.97536945812808,21.126436781609197
2008-03-01,0.0,114.02304147465438,70.88709677419355,15.396313364055299,25.53763440860215
2008-04-01,0.0,143.0,67.32777777777778,21.01904761904762,28.3
2008-05-01,0.0,191.78801843317973,66.74731182795699,28.382488479262673,21.9247311827957
2008-06-01,0.0,231.47619047619045,65.92777777777778,26.74285714285714,16.066666666666666
2008-07-01,0.0,256.4930875576037,61.29569892473118,10.87557603686636,19.946236559139784
2008-08-01,0.0,260.852534562212,62.107526881720425,5.3963133640553,22.580645161290324
2008-09-01,1.0,207.21904761904761,65.21111111111111,24.542857142857144,27.233333333333334
2008-10-01,2.0,174.48387096774195,72.25806451612902,12.456221198156681,22.096774193548384
2008-11-01,0.0,117.67619047619048,77.56111111111112,48.042857142857144,28.71111111111111
2008-12-01,0.0,73.49462365591398,78.79032258064517,51.746543778801836,29.096774193548384
2009-01-01,0.0,60.40860215053763,80.47849462365592,31.12903225806452,31.290322580645164
2009-02-01,0.0,71.24404761904762,69.30423280423281,16.55,35.416666666666664
2009-03-01,0.0,106.45698924731182,67.78745519713262,30.606720430107526,24.64516129032258
2009-04-01,0.0,147.24444444444444,73.14285714285715,26.939999999999998,20.183333333333334
2009-05-01,1.0,203.11827956989248,63.90860215053763,4.941935483870967,15.935483870967742
2009-06-01,0.0,226.92222222222222,62.2139846743295,12.813333333333333,22.466666666666665
2009-07-01,0.0,256.3225806451613,62.225806451612904,10.993548387096775,17.451612903225808
2009-08-01,3.0,266.2903225806452,63.46774193548387,2.6193548387096777,16.0
2009-09-01,12.0,222.7249042145594,66.14252873563218,14.616666666666667,16.9
2009-10-01,2.0,156.16129032258064,70.36021505376344,14.35483870967742,15.70967741935484
2009-11-01,0.0,116.60000000000001,80.28639846743295,15.9,16.1
2009-12-01,0.0,69.17204301075269,77.83333333333333,18.178387096774195,24.0
2010-01-01,0.0,53.032258064516135,85.35483870967742,15.741935483870966,18.338709677419356
2010-02-01,0.0,71.80844155844156,79.82142857142857,30.666666666666668,23.321428571428573
2010-03-01,0.0,97.42305376344086,71.41935483870968,23.634408602150533,20.983870967741936
2010-04-01,0.0,142.1008210180624,63.43333333333334,21.733333333333334,17.6
2010-05-01,0.0,177.2516129032258,64.53225806451613,35.82795698924731,19.741935483870968
2010-06-01,0.0,221.4,63.43333333333334,53.31111111111111,18.766666666666666
2010-07-01,1.0,257.387311827957,59.03225806451613,9.505376344086022,17.032258064516128
2010-08-01,1.0,241.57419354838711,66.95161290322581,33.46236559139785,16.564516129032256
2010-09-01,4.0,197.1816091954023,70.13333333333333,35.93333333333333,20.1
2010-10-01,3.0,145.0193548387097,76.83870967741936,30.580645161290324,19.419354838709676
2010-11-01,0.0,115.24704433497539,87.78333333333333,45.644444444444446,20.78333333333333
2010-12-01,2.0,54.15483870967741,86.74193548387098,25.44086021505376,22.70967741935484
2011-01-01,0.0,52.677419354838705,82.64516129032259,11.61290322580645,15.935483870967744
2011-02-01,0.0,69.44285714285715,78.05357142857142,18.71428571428571,19.25
2011-03-01,0.0,102.80193548387096,67.7258064516129,23.569892473118284,18.91935483870968
2011-04-01,0.0,154.12666666666667,54.28333333333333,4.511111111111111,16.083333333333332
2011-05-01,0.0,189.8516129032258,53.62903225806451,10.774193548387096,17.564516129032256
2011-06-01,0.0,223.35999999999999,65.08333333333333,30.355555555555554,17.5
2011-07-01,0.0,239.74193548387098,59.935483870967744,12.623655913978496,18.870967741935484
2011-08-01,4.0,256.50129032258064,55.64516129032258,1.3763440860215053,14.14516129032258
2011-09-01,22.0,229.99333333333334,65.73333333333333,12.066666666666668,13.033333333333335
2011-10-01,5.0,155.97196143863553,68.11290322580645,22.903225806451616,15.612903225806452
2011-11-01,1.0,104.81724137931035,86.06666666666666,11.733333333333334,13.95
2011-12-01,0.0,74.74290322580646,80.37096774193549,5.290322580645161,15.306451612903226
2012-01-01,0.0,52.37683078664403,75.12903225806451,3.806451612903226,14.532258064516128
2012-02-01,0.0,41.38620689655172,64.75862068965517,14.96551724137931,22.775862068965516
2012-03-01,0.0,122.96129032258064,55.24193548387097,1.032258064516129,16.919354838709676
2012-04-01,0.0,137.29241379310344,69.03333333333333,25.400000000000002,21.633333333333333
2012-05-01,0.0,181.10193548387096,60.83870967741936,29.39784946236559,19.032258064516128
2012-06-01,0.0,242.80666666666667,58.38333333333333,5.022222222222222,17.866666666666667
2012-07-01,2.0,265.91813125695217,55.096774193548384,3.5483870967741935,18.596774193548384
2012-08-01,30.0,267.71612903225804,53.64516129032258,4.064516129032258,17.67741935483871
2012-09-01,36.0,212.48666666666668,71.03333333333333,48.6,19.1
2012-10-01,4.0,169.07185185185185,80.90322580645162,34.27956989247312,14.370967741935484
2012-11-01,1.0,126.8542528735632,84.71666666666667,33.733333333333334,18.666666666666668
2012-12-01,0.0,57.20645161290323,85.11290322580646,10.795698924731184,18.532258064516128
2013-01-01,0.0,62.233548387096775,87.50376344086021,25.311827956989248,18.887096774193548
2013-02-01,0.0,57.1,76.96428571428572,29.0,21.19642857142857
2013-03-01,0.0,97.24338153503894,78.54838709677419,48.73118279569892,24.935483870967744
2013-04-01,0.0,145.62206896551726,72.63333333333333,34.48888888888889,19.683333333333334
2013-05-01,0.0,173.69032258064516,70.20967741935485,51.634408602150536,20.741935483870968
2013-06-01,0.0,215.85166666666663,59.3,12.666666666666666,16.75
2013-07-01,51.0,255.21774193548387,58.85483870967742,3.6774193548387095,15.693548387096776
2013-08-01,80.0,251.11290322580646,60.435483870967744,14.666666666666666,15.580645161290322
2013-09-01,26.0,208.85689655172413,69.88333333333333,7.955555555555556,14.683333333333334
2013-10-01,3.0,160.43882091212458,84.69354838709677,33.67741935483871,12.20967741935484
2013-11-01,0.0,112.51851851851852,77.95,34.955555555555556,19.383333333333333
2013-12-01,0.0,59.49888765294772,85.7741935483871,5.913978494623656,13.564516129032256
2014-01-01,0.0,75.28225806451613,87.37096774193549,41.634408602150536,20.032258064516128
2014-02-01,0.0,93.01322751322752,82.10714285714286,41.26190476190476,21.857142857142858
2014-03-01,0.0,114.91935483870968,64.83870967741936,16.688172043010752,18.483870967741936
2014-04-01,0.0,147.96666666666667,64.78333333333333,30.24444444444445,18.433333333333334
2014-05-01,0.0,176.21774193548387,60.99366359447005,20.021505376344084,16.20967741935484
2014-06-01,0.0,227.0,57.45,13.733333333333334,16.71666666666667
2014-07-01,0.0,231.83870967741936,67.40322580645162,42.387096774193544,16.225806451612904
2014-08-01,13.0,233.5,70.09677419354838,19.93548387096774,15.306451612903226
2014-09-01,11.0,199.2057471264368,72.18333333333334,22.533333333333335,13.683333333333334
2014-10-01,0.0,167.60483870967744,76.20967741935485,15.24731182795699,13.387096774193548
2014-11-01,0.0,128.00833333333333,86.28333333333333,34.422222222222224,15.25
2014-12-01,0.0,73.20510752688172,86.14516129032259,16.580645161290324,15.612903225806452
2015-01-01,0.0,59.918490783410135,77.7741935483871,5.268817204301075,15.32258064516129
2015-02-01,0.0,66.09821428571429,75.30357142857143,43.38095238095238,20.44642857142857
2015-03-01,0.0,103.2741935483871,65.62903225806451,24.7741935483871,21.870967741935484
2015-04-01,0.0,139.7,60.03333333333333,22.022222222222222,18.483333333333334
2015-05-01,0.0,186.96774193548387,70.61290322580645,18.9247311827957,16.774193548387096
2015-06-01,0.0,228.60833333333335,66.15555555555555,20.377777777777776,15.783333333333333
2015-07-01,7.0,274.0967741935484,62.086021505376344,2.0,17.225806451612904
2015-08-01,41.0,253.94354838709677,66.50537634408602,19.698924731182796,16.806451612903224
2015-09-01,14.0,208.9,64.94444444444444,14.222222222222221,21.633333333333333
2015-10-01,0.0,152.2741935483871,80.3763440860215,33.46236559139785,18.129032258064516
2015-11-01,0.0,102.10833333333333,86.08888888888889,10.222222222222223,14.966666666666667
2015-12-01,0.0,61.024193548387096,90.55913978494624,0.21505376344086022,11.564516129032258
2016-01-01,0.0,57.75,77.3010752688172,10.258064516129032,17.080645161290324
2016-02-01,0.0,89.52586206896552,80.7816091954023,48.735632183908045,25.689655172413794
2016-03-01,0.0,104.52983870967742,72.43010752688171,18.752688172043012,24.306451612903224
2016-04-01,0.0,148.65775862068966,71.77777777777777,15.200000000000001,21.533333333333335
2016-05-01,0.0,173.19354838709677,71.8494623655914,44.12903225806451,20.451612903225808
2016-06-01,0.0,221.0,71.75555555555555,39.62222222222223,18.166666666666664
2016-07-01,7.0,256.9193548387097,66.89247311827957,9.720430107526882,17.64516129032258
2016-08-01,38.0,242.45099846390173,67.95698924731182,13.46236559139785,18.048387096774192
2016-09-01,33.0,218.50740740740738,70.93333333333334,15.266666666666666,16.574137931034482
2016-10-01,2.0,156.56129032258065,79.53763440860216,29.827956989247312,17.79032258064516
2016-11-01,1.0,112.87218390804598,81.5111111111111,25.044444444444448,19.833333333333332
2016-12-01,0.0,64.54193548387096,83.2795698924731,4.0,15.258064516129032
2017-01-01,0.0,47.255161290322576,74.64516129032259,1.6129032258064517,24.258064516129032
2017-02-01,0.0,91.61011904761905,85.17857142857142,22.964285714285715,20.803571428571427
2017-03-01,0.0,126.00994623655913,70.45161290322581,2.935483870967742,20.79032258064516
2017-04-01,0.0,145.35919540229884,72.23333333333333,10.233333333333334,21.416666666666668
2017-05-01,0.0,187.42741935483872,73.87096774193549,26.096774193548388,15.17741935483871
2017-06-01,0.0,246.025,62.733333333333334,5.3,18.283333333333335
2017-07-01,3.0,260.9516129032258,63.66129032258064,1.935483870967742,23.048387096774192
2017-08-01,31.0,266.4717741935484,66.24193548387098,4.870967741935484,22.032258064516128
2017-09-01,20.0,204.23793103448276,74.45,40.2,22.883333333333333
2017-10-01,0.0,166.6693548387097,77.19354838709677,9.193548387096774,16.661290322580644
2017-11-01,0.0,109.33333333333333,83.0,41.43333333333333,21.916666666666664
2017-12-01,0.0,59.46215053763441,82.38709677419355,4.043010752688172,23.338709677419356
2018-01-01,0.0,80.01784946236559,84.07862903225806,5.419354838709677,22.20967741935484
2018-02-01,0.0,58.097802197802196,77.67857142857143,41.833333333333336,26.63214285714286
2018-03-01,0.0,92.28387096774193,79.33870967741936,25.806451612903228,27.575682382133994
2018-04-01,0.0,159.58477832512315,66.16666666666666,11.666666666666666,22.983333333333334
2018-05-01,0.0,191.86942756909386,70.96774193548387,30.946236559139788,18.112903225806452
2018-06-01,2.0,230.89356321839082,61.116666666666674,19.48888888888889,21.566666666666666
2018-07-01,160.0,257.4443010752688,63.677419354838705,15.591397849462366,20.14516129032258
2018-08-01,341.0,256.5799539170507,62.2258064516129,12.301075268817206,18.774193548387096
2018-09-01,105.0,220.13333333333335,69.65,16.622222222222224,15.814285714285713
2018-10-01,9.0,172.0889400921659,77.41935483870967,23.24731182795699,22.043548387096777
2018-11-01,0.0,122.21190476190478,86.7,29.400000000000002,22.322619047619046
2018-12-01,1.0,64.59907834101384,87.61290322580646,6.580645161290323,20.773548387096774
2019-01-01,0.0,45.69978494623656,77.32258064516128,9.24731182795699,24.629032258064516
2019-02-01,0.0,80.18620268620268,69.71428571428572,9.976190476190476,23.42857142857143
2019-03-01,0.0,115.81827956989248,58.483870967741936,2.3440860215053765,22.71588089330025
2019-04-01,0.0,140.32574712643677,68.85,25.0,23.21666666666667
2019-05-01,0.0,157.44181600955795,74.35483870967741,62.387096774193544,22.612903225806452
2019-06-01,1.0,243.57581280788176,58.37777777777778,4.8,16.116666666666667
2019-07-01,7.0,256.14074074074074,63.54193548387097,13.80167264038232,17.741935483870968
2019-08-01,21.0,259.455578214477,63.141129032258064,16.930704898446834,15.068100358422939
2019-09-01,26.0,220.275,73.35,19.8,17.992857142857144
2019-10-01,0.0,176.25310066740823,82.48387096774194,10.869593666165022,16.178709677419356
2019-11-01,0.0,124.87701149425288,89.68333333333334,64.94176245210728,26.0
2019-12-01,0.0,86.75289581015944,85.93548387096774,22.34767025089606,21.451612903225808
2020-01-01,0.0,71.42430107526881,84.7741935483871,6.451612903225807,13.661290322580644
2020-02-01,0.0,95.28897006441835,70.0344827586207,0.8735632183908045,20.293103448275865
2020-03-01,0.0,105.34838709677419,68.16129032258064,11.483870967741936,17.112903225806452
2020-04-01,0.0,144.89655172413794,55.63333333333334,3.0666666666666664,15.799999999999999
2020-05-01,0.0,191.63065310662643,62.19354838709677,13.440860215053762,20.290322580645164
2020-06-01,0.0,220.80045977011497,64.66666666666667,31.95555555555556,18.483333333333334
2020-07-01,9.0,251.44660734149056,62.25864055299539,26.688172043010752,14.903225806451614
2020-08-01,37.0,260.1161290322581,67.06451612903226,21.72043010752688,14.935483870967742
2020-09-01,24.0,220.85333333333332,68.3,25.155555555555555,13.189215686274508
2020-10-01,0.0,154.57552836484984,80.93548387096774,32.623655913978496,19.693548387096776
2020-11-01,1.0,118.11333333333334,83.16666666666666,6.666666666666667,13.102631578947369
2020-12-01,0.0,81.1858064516129,91.53225806451613,46.903225806451616,17.747311827956988
2021-01-01,0.0,59.438709677419354,81.14516129032258,19.333333333333332,20.969354838709677
2021-02-01,0.0,91.61887830687832,74.83928571428572,6.880952380952382,21.02314814814815
2021-03-01,0.0,103.34145758661889,58.37096774193549,0.989247311827957,20.29032258064516
2021-04-01,0.0,126.53563218390805,64.61666666666666,18.68888888888889,24.5
2021-05-01,0.0,177.48387096774195,64.87096774193549,20.795698924731184,25.306451612903228
2021-06-01,1.0,242.66666666666666,59.016666666666666,12.688888888888888,19.316666666666666
2021-07-01,4.0,261.417575083426,65.7741935483871,15.24731182795699,23.87096774193548
2021-08-01,38.0,255.93548387096774,62.0,6.021505376344085,20.161290322580648
2021-09-01,21.0,221.9055172413793,69.11666666666666,21.53333333333333,15.69022988505747
2021-10-01,1.0,157.84516129032258,73.14516129032259,7.870967741935484,17.91935483870968
2021-11-01,0.0,118.32666666666667,82.3,33.955555555555556,21.383333333333333
2021-12-01,0.0,68.50709677419354,83.75913978494623,13.18279569892473,22.225806451612904
2022-01-01,0.0,58.427526881720425,80.06064516129032,9.236559139784946,16.225806451612904
2022-02-01,0.0,86.60714285714286,71.78896103896103,6.357142857142857,19.92063492063492
2022-03-01,0.0,96.60774193548387,57.171146953405014,7.526881720430108,19.161290322580644
2022-04-01,1.0,133.84666666666666,63.47777777777778,24.04444444444444,23.9
2022-05-01,0.0,202.12623655913978,64.01612903225806,18.817204301075268,20.20967741935484
2022-06-01,4.0,254.7770114942529,61.72222222222222,7.211111111111111,19.166666666666668
2022-07-01,218.0,273.665376344086,57.644444444444446,6.032258064516129,18.774193548387096
2022-08-01,391.0,260.9483870967742,64.51559139784946,40.43010752688172,19.532258064516128
2022-09-01,97.0,216.14666666666668,67.36783625730995,15.388888888888891,23.133333333333333
2022-10-01,15.0,187.29978494623657,80.43010752688173,1.6989247311827957,14.467741935483872
2022-11-01,2.0,124.58430213464696,85.35,37.74444444444445,19.95
2022-12-01,0.0,91.07677419354839,92.30645161290323,26.301075268817204,18.193548387096776
2023-01-01,0.0,79.67440860215054,81.74193548387098,23.182795698924732,19.177419354838708
2023-02-01,0.0,77.21825396825398,70.94642857142858,6.5476190476190474,17.035714285714285
2023-03-01,0.0,119.55483870967741,66.32258064516128,11.440860215053766,20.903225806451612
2023-04-01,0.0,134.1035632183908,63.483333333333334,10.733333333333334,21.666666666666664
2023-05-01,1.0,181.3309677419355,71.24193548387098,87.82795698924731,17.879032258064516
2023-06-01,0.0,194.29333333333335,60.166666666666664,20.92222222222222,16.41190476190476
2023-07-01,63.0,267.7154838709677,66.54838709677419,30.086021505376348,18.08294930875576
2023-08-01,183.0,257.458064516129,62.35483870967742,22.881720430107524,16.820381231671554
2023-09-01,75.0,232.47333333333336,66.43333333333334,8.011111111111111,15.841666666666667
2023-10-01,18.0,193.95419354838708,76.40322580645162,25.946236559139788,19.4391495601173
2023-11-01,4.0,121.60252873563218,79.53333333333333,17.5,20.96666666666667
2023-12-01,0.0,87.37177180994756,89.7478777589134,6.602150537634408,18.054698457223
