STAID,SOUID,DATE,HU,Q_HU
   234,  1018,19500706,   83,    0
   234,  1018,19500707,   73,    0
   234,  1018,19500708,   72,    0
   234,  1018,19500709,   86,    0
   234,  1018,19500710,   79,    0
   234,  1018,19500711,   76,    0
   234,  1018,19500712,   79,    0
   234,  1018,19500713,   83,    0
   234,  1018,19500714,   78,    0
   234,  1018,19500715,   73,    0
   234,  1018,19500716,   89,    0
   234,  1018,19500717,   80,    0
   234,  1018,19500718,   76,    0
   234,  1018,19500719,   85,    0
   234,  1018,19500720,   86,    0
   234,  1018,19500721,   92,    0
   234,  1018,19500722,   80,    0
   234,  1018,19500723,   77,    0
   234,  1018,19500724,   81,    0
   234,  1018,19500725,   90,    0
   234,  1018,19500726,   86,    0
   234,  1018,19500727,   92,    0
   234,  1018,19500728,   91,    0
   234,  1018,19500729,   78,    0
   234,  1018,19500730,   80,    0
   234,  1018,19500731,   81,    0
   234,  1018,19500801,   88,    0
   234,  1018,19500802,   79,    0
   234,  1018,19500803,   80,    0
   234,  1018,19500804,   76,    0
   234,  1018,19500805,   70,    0
   234,  1018,19500806,   81,    0
   234,  1018,19500807,   90,    0
   234,  1018,19500808,   80,    0
   234,  1018,19500809,   82,    0
   234,  1018,19500810,   99,    0
   234,  1018,19500811,   84,    0
   234,  1018,19500812,   85,    0
   234,  1018,19500813,   81,    0
   234,  1018,19500814,   87,    0
   234,  1018,19500815,   88,    0
   234,  1018,19500816,   88,    0
   234,  1018,19500817,   86,    0
   234,  1018,19500818,   81,    0
   234,  1018,19500819,   73,    0
   234,  1018,19500820,   60,    0
   234,  1018,19500821,   75,    0
   234,  1018,19500822,   83,    0
   234,  1018,19500823,   93,    0
   234,  1018,19500824,   78,    0
   234,  1018,19500825,   83,    0
   234,  1018,19500826,   76,    0
   234,  1018,19500827,   86,    0
   234,  1018,19500828,   95,    0
   234,  1018,19500829,   78,    0
   234,  1018,19500830,   81,    0
   234,  1018,19500831,   81,    0
   234,  1018,19500901,   77,    0
   234,  1018,19500902,   95,    0
   234,  1018,19500903,   79,    0
   234,  1018,19500904,   84,    0
   234,  1018,19500905,   97,    0
   234,  1018,19500906,   85,    0
   234,  1018,19500907,   75,    0
   234,  1018,19500908,   91,    0
   234,  1018,19500909,   88,    0
   234,  1018,19500910,   96,    0
   234,  1018,19500911,   86,    0
   234,  1018,19500912,   91,    0
   234,  1018,19500913,   88,    0
   234,  1018,19500914,   87,    0
   234,  1018,19500915,   69,    0
   234,  1018,19500916,   59,    0
   234,  1018,19500917,   92,    0
   234,  1018,19500918,   79,    0
   234,  1018,19500919,   84,    0
   234,  1018,19500920,   85,    0
   234,  1018,19500921,   86,    0
   234,  1018,19500922,   81,    0
   234,  1018,19500923,   79,    0
   234,  1018,19500924,   74,    0
   234,  1018,19500925,   88,    0
   234,  1018,19500926,   90,    0
   234,  1018,19500927,   86,    0
   234,  1018,19500928,   85,    0
   234,  1018,19500929,   70,    0
   234,  1018,19500930,   71,    0
   234,  1018,19501001,   82,    0
   234,  1018,19501002,   74,    0
   234,  1018,19501003,   82,    0
   234,  1018,19501004,   54,    0
   234,  1018,19501005,   50,    0
   234,  1018,19501006,   79,    0
   234,  1018,19501007,   94,    0
   234,  1018,19501008,   90,    0
   234,  1018,19501009,   86,    0
   234,  1018,19501010,   95,    0
   234,  1018,19501011,   94,    0
   234,  1018,19501012,   91,    0
   234,  1018,19501013,   74,    0
   234,  1018,19501014,   95,    0
   234,  1018,19501015,   96,    0
   234,  1018,19501016,   97,    0
   234,  1018,19501017,   97,    0
   234,  1018,19501018,   97,    0
   234,  1018,19501019,   96,    0
   234,  1018,19501020,   96,    0
   234,  1018,19501021,   96,    0
   234,  1018,19501022,   87,    0
   234,  1018,19501023,   93,    0
   234,  1018,19501024,   92,    0
   234,  1018,19501025,   94,    0
   234,  1018,19501026,   80,    0
   234,  1018,19501027,   87,    0
   234,  1018,19501028,   79,    0
   234,  1018,19501029,   93,    0
   234,  1018,19501030,   91,    0
   234,  1018,19501031,   80,    0
   234,  1018,19501101,   78,    0
   234,  1018,19501102,   91,    0
   234,  1018,19501103,   88,    0
   234,  1018,19501104,   92,    0
   234,  1018,19501105,   86,    0
   234,  1018,19501106,   79,    0
   234,  1018,19501107,   89,    0
   234,  1018,19501108,   83,    0
   234,  1018,19501109,   58,    0
   234,  1018,19501110,   52,    0
   234,  1018,19501111,   79,    0
   234,  1018,19501112,   83,    0
   234,  1018,19501113,   80,    0
   234,  1018,19501114,   91,    0
   234,  1018,19501115,   83,    0
   234,  1018,19501116,   84,    0
   234,  1018,19501117,   94,    0
   234,  1018,19501118,   64,    0
   234,  1018,19501119,   85,    0
   234,  1018,19501120,   67,    0
   234,  1018,19501121,   78,    0
   234,  1018,19501122,   84,    0
   234,  1018,19501123,   60,    0
   234,  1018,19501124,   56,    0
   234,  1018,19501125,   52,    0
   234,  1018,19501126,   73,    0
   234,  1018,19501127,   64,    0
   234,  1018,19501128,   62,    0
   234,  1018,19501129,   84,    0
   234,  1018,19501130,   79,    0
   234,  1018,19501201,   55,    0
   234,  1018,19501202,   47,    0
   234,  1018,19501203,   96,    0
   234,  1018,19501204,   88,    0
   234,  1018,19501205,   87,    0
   234,  1018,19501206,   99,    0
   234,  1018,19501207,   75,    0
   234,  1018,19501208,   77,    0
   234,  1018,19501209,   82,    0
   234,  1018,19501210,   82,    0
   234,  1018,19501211,   94,    0
   234,  1018,19501212,   94,    0
   234,  1018,19501213,   92,    0
   234,  1018,19501214,   90,    0
   234,  1018,19501215,   86,    0
   234,  1018,19501216,   87,    0
   234,  1018,19501217,   95,    0
   234,  1018,19501218,   83,    0
   234,  1018,19501219,   95,    0
   234,  1018,19501220,   94,    0
   234,  1018,19501221,   85,    0
   234,  1018,19501222,   92,    0
   234,  1018,19501223,   95,    0
   234,  1018,19501224,   88,    0
   234,  1018,19501225,   94,    0
   234,  1018,19501226,   95,    0
   234,  1018,19501227,   94,    0
   234,  1018,19501228,   89,    0
   234,  1018,19501229,   94,    0
   234,  1018,19501230,   83,    0
   234,  1018,19501231,   83,    0
   234,  1018,19510101,   65,    0
   234,  1018,19510102,   89,    0
   234,  1018,19510103,   82,    0
   234,  1018,19510104,   70,    0
   234,  1018,19510105,   39,    0
   234,  1018,19510106,   37,    0
   234,  1018,19510107,   85,    0
   234,  1018,19510108,   67,    0
   234,  1018,19510109,   74,    0
   234,  1018,19510110,   72,    0
   234,  1018,19510111,   56,    0
   234,  1018,19510112,   77,    0
   234,  1018,19510113,   72,    0
   234,  1018,19510114,   79,    0
   234,  1018,19510115,   89,    0
   234,  1018,19510116,   80,    0
   234,  1018,19510117,   92,    0
   234,  1018,19510118,   93,    0
   234,  1018,19510119,  100,    0
   234,  1018,19510120,  100,    0
   234,  1018,19510121,  100,    0
   234,  1018,19510122,   96,    0
   234,  1018,19510123,   69,    0
   234,  1018,19510124,   87,    0
   234,  1018,19510125,   85,    0
   234,  1018,19510126,   83,    0
   234,  1018,19510127,   78,    0
   234,  1018,19510128,   82,    0
   234,  1018,19510129,   93,    0
   234,  1018,19510130,   76,    0
   234,  1018,19510131,   86,    0
   234,  1018,19510201,   86,    0
   234,  1018,19510202,   84,    0
   234,  1018,19510203,   82,    0
   234,  1018,19510204,   68,    0
   234,  1018,19510205,   69,    0
   234,  1018,19510206,   58,    0
   234,  1018,19510207,   70,    0
   234,  1018,19510208,   56,    0
   234,  1018,19510209,   51,    0
   234,  1018,19510210,   65,    0
   234,  1018,19510211,   56,    0
   234,  1018,19510212,   66,    0
