STAID,SOUID,DATE,RR,Q_RR
   234,   722,19280715,    0,    0
   234,   722,19280716,    0,    0
   234,   722,19280717,    0,    0
   234,   722,19280718,    0,    0
   234,   722,19280719,    0,    0
   234,   722,19280720,    0,    0
   234,   722,19280721,    0,    0
   234,   722,19280722,    0,    0
   234,   722,19280723,    0,    0
   234,   722,19280724,    0,    0
   234,   722,19280725,    2,    0
   234,   722,19280726,    6,    0
   234,   722,19280727,  104,    0
   234,   722,19280728,    0,    0
   234,   722,19280729,    0,    0
   234,   722,19280730,    0,    0
   234,   722,19280731,    0,    0
   234,   722,19280801,    0,    0
   234,   722,19280802,   12,    0
   234,   722,19280803,    3,    0
   234,   722,19280804,   71,    0
   234,   722,19280805,    0,    0
   234,   722,19280806,    0,    0
   234,   722,19280807,    0,    0
   234,   722,19280808,    0,    0
   234,   722,19280809,    0,    0
   234,   722,19280810,    0,    0
   234,   722,19280811,   91,    0
   234,   722,19280812,  218,    0
   234,   722,19280813,   39,    0
   234,   722,19280814,   56,    0
   234,   722,19280815,  103,    0
   234,   722,19280816,    0,    0
   234,   722,19280817,    0,    0
   234,   722,19280818,    0,    0
   234,   722,19280819,   58,    0
   234,   722,19280820,    0,    0
   234,   722,19280821,   14,    0
   234,   722,19280822,    0,    0
   234,   722,19280823,   24,    0
   234,   722,19280824,    5,    0
   234,   722,19280825,    0,    0
   234,   722,19280826,   36,    0
   234,   722,19280827,  140,    0
   234,   722,19280828,    0,    0
   234,   722,19280829,  236,    0
   234,   722,19280830,    3,    0
   234,   722,19280831,    0,    0
   234,   722,19280901,    0,    0
   234,   722,19280902,    0,    0
   234,   722,19280903,    0,    0
   234,   722,19280904,    0,    0
   234,   722,19280905,   59,    0
   234,   722,19280906,   14,    0
   234,   722,19280907,    1,    0
   234,   722,19280908,    0,    0
   234,   722,19280909,   51,    0
   234,   722,19280910,    2,    0
   234,   722,19280911,    0,    0
   234,   722,19280912,    0,    0
   234,   722,19280913,    0,    0
   234,   722,19280914,    0,    0
   234,   722,19280915,    0,    0
   234,   722,19280916,    0,    0
   234,   722,19280917,    0,    0
   234,   722,19280918,    0,    0
   234,   722,19280919,    0,    0
   234,   722,19280920,    0,    0
   234,   722,19280921,    0,    0
   234,   722,19280922,    0,    0
   234,   722,19280923,    0,    0
   234,   722,19280924,    0,    0
   234,   722,19280925,   16,    0
   234,   722,19280926,    2,    0
   234,   722,19280927,    0,    0
   234,   722,19280928,    0,    0
   234,   722,19280929,   53,    0
   234,   722,19280930,    0,    0
   234,   722,19281001,    0,    0
   234,   722,19281002,    0,    0
   234,   722,19281003,    1,    0
   234,   722,19281004,   20,    0
   234,   722,19281005,  436,    0
   234,   722,19281006,    0,    0
   234,   722,19281007,    0,    0
   234,   722,19281008,    0,    0
   234,   722,19281009,   18,    0
   234,   722,19281010,    0,    0
   234,   722,19281011,   11,    0
   234,   722,19281012,   98,    0
   234,   722,19281013,   30,    0
   234,   722,19281014,  175,    0
   234,   722,19281015,  409,    0
   234,   722,19281016,   16,    0
   234,   722,19281017,    0,    0
   234,   722,19281018,    0,    0
   234,   722,19281019,    0,    0
   234,   722,19281020,  112,    0
   234,   722,19281021,   95,    0
   234,   722,19281022,   75,    0
   234,   722,19281023,    4,    0
   234,   722,19281024,  202,    0
   234,   722,19281025,  184,    0
   234,   722,19281026,  158,    0
   234,   722,19281027,  471,    0
   234,   722,19281028,  165,    0
   234,   722,19281029,    0,    0
   234,   722,19281030,  260,    0
   234,   722,19281031,  211,    0
   234,   722,19281101,  197,    0
   234,   722,19281102,  198,    0
   234,   722,19281103,    0,    0
   234,   722,19281104,  132,    0
   234,   722,19281105,    0,    0
   234,   722,19281106,  525,    0
   234,   722,19281107,   99,    0
   234,   722,19281108,  322,    0
   234,   722,19281109,    5,    0
   234,   722,19281110,    0,    0
   234,   722,19281111,    0,    0
   234,   722,19281112,    0,    0
   234,   722,19281113,    0,    0
   234,   722,19281114,    0,    0
   234,   722,19281115,    1,    0
   234,   722,19281116,   26,    0
   234,   722,19281117,   51,    0
   234,   722,19281118,    0,    0
   234,   722,19281119,    0,    0
   234,   722,19281120,    0,    0
   234,   722,19281121,   78,    0
   234,   722,19281122,    6,    0
   234,   722,19281123,  130,    0
   234,   722,19281124,   27,    0
   234,   722,19281125,  196,    0
   234,   722,19281126,  234,    0
   234,   722,19281127,   96,    0
   234,   722,19281128,  173,    0
   234,   722,19281129,    0,    0
   234,   722,19281130,   77,    0
   234,   722,19281201,   83,    0
   234,   722,19281202,    0,    0
   234,   722,19281203,    0,    0
   234,   722,19281204,    0,    0
   234,   722,19281205,    1,    0
   234,   722,19281206,    0,    0
   234,   722,19281207,   92,    0
   234,   722,19281208,   44,    0
   234,   722,19281209,    0,    0
   234,   722,19281210,   23,    0
   234,   722,19281211,   25,    0
   234,   722,19281212,  169,    0
   234,   722,19281213,   32,    0
   234,   722,19281214,   83,    0
   234,   722,19281215,   17,    0
   234,   722,19281216,   25,    0
   234,   722,19281217,   45,    0
   234,   722,19281218,    0,    0
   234,   722,19281219,    0,    0
   234,   722,19281220,  215,    0
   234,   722,19281221,   72,    0
   234,   722,19281222,    1,    0
   234,   722,19281223,  161,    0
   234,   722,19281224,  101,    0
   234,   722,19281225,    0,    0
   234,   722,19281226,    0,    0
   234,   722,19281227,    2,    0
   234,   722,19281228,   11,    0
   234,   722,19281229,   97,    0
   234,   722,19281230,  634,    0
   234,   722,19281231,  329,    0
   234,   722,19290101,   47,    0
   234,   722,19290102,  139,    0
   234,   722,19290103,   51,    0
   234,   722,19290104,   10,    0
   234,   722,19290105,    0,    0
   234,   722,19290106,    5,    0
   234,   722,19290107,   43,    0
   234,   722,19290108,    0,    0
   234,   722,19290109,    0,    0
   234,   722,19290110,    0,    0
   234,   722,19290111,    0,    0
   234,   722,19290112,    0,    0
   234,   722,19290113,   13,    0
   234,   722,19290114,    0,    0
   234,   722,19290115,   71,    0
   234,   722,19290116,  100,    0
   234,   722,19290117,    0,    0
   234,   722,19290118,    0,    0
   234,   722,19290119,    0,    0
   234,   722,19290120,    0,    0
   234,   722,19290121,    0,    0
   234,   722,19290122,   43,    0
   234,   722,19290123,   43,    0
   234,   722,19290124,  103,    0
   234,   722,19290125,    4,    0
   234,   722,19290126,    6,    0
   234,   722,19290127,    0,    0
   234,   722,19290128,    3,    0
   234,   722,19290129,    0,    0
   234,   722,19290130,    0,    0
   234,   722,19290131,    0,    0
   234,   722,19290201,   24,    0
   234,   722,19290202,   45,    0
   234,   722,19290203,    2,    0
   234,   722,19290204,    4,    0
   234,   722,19290205,    0,    0
   234,   722,19290206,   54,    0
   234,   722,19290207,   15,    0
   234,   722,19290208,    0,    0
   234,   722,19290209,   17,    0
   234,   722,19290210,   25,    0
   234,   722,19290211,  267,    0
   234,   722,19290212,  157,    0
   234,   722,19290213,    0,    0
   234,   722,19290214,   29,    0
   234,   722,19290215,  101,    0
   234,   722,19290216,  169,    0
   234,   722,19290217,    3,    0
   234,   722,19290218,    0,    0
   234,   722,19290219,    0,    0
   234,   722,19290220,    0,    0
   234,   722,19290221,    0,    0
   234,   722,19290222,    0,    0
   234,   722,19290223,    0,    0
   234,   722,19290224,    0,    0
   234,   722,19290225,    0,    0
   234,   722,19290226,    7,    0
   234,   722,19290227,  147,    0
   234,   722,19290228,    0,    0
   234,   722,19290301,    0,    0
   234,   722,19290302,    0,    0
   234,   722,19290303,    0,    0
   234,   722,19290304,   72,    0
   234,   722,19290305,    4,    0
   234,   722,19290306,    0,    0
   234,   722,19290307,    0,    0
   234,   722,19290308,    0,    0
   234,   722,19290309,    0,    0
   234,   722,19290310,    0,    0
   234,   722,19290311,    0,    0
   234,   722,19290312,    0,    0
   234,   722,19290313,    0,    0
   234,   722,19290314,    0,    0
   234,   722,19290315,    0,    0
   234,   722,19290316,    0,    0
   234,   722,19290317,    0,    0
   234,   722,19290318,    0,    0
   234,   722,19290319,    0,    0
   234,   722,19290320,    0,    0
   234,   722,19290321,    0,    0
   234,   722,19290322,  450,    0
   234,   722,19290323,   11,    0
   234,   722,19290324,    0,    0
   234,   722,19290325,    0,    0
   234,   722,19290326,    0,    0
   234,   722,19290327,    0,    0
   234,   722,19290328,    0,    0
   234,   722,19290329,    0,    0
   234,   722,19290330,    0,    0
   234,   722,19290331,    0,    0
   234,   722,19290401,    3,    0
   234,   722,19290402,   35,    0
   234,   722,19290403,    8,    0
   234,   722,19290404,   15,    0
   234,   722,19290405,  103,    0
   234,   722,19290406,    0,    0
   234,   722,19290407,    0,    0
   234,   722,19290408,    0,    0
   234,   722,19290409,    0,    0
   234,   722,19290410,    0,    0
   234,   722,19290411,   33,    0
   234,   722,19290412,    0,    0
   234,   722,19290413,    1,    0
   234,   722,19290414,   83,    0
   234,   722,19290415,  103,    0
   234,   722,19290416,   13,    0
   234,   722,19290417,    0,    0
   234,   722,19290418,    0,    0
   234,   722,19290419,    0,    0
   234,   722,19290420,    0,    0
   234,   722,19290421,  119,    0
   234,   722,19290422,    0,    0
   234,   722,19290423,    0,    0
   234,   722,19290424,    0,    0
   234,   722,19290425,    0,    0
   234,   722,19290426,    5,    0
   234,   722,19290427,    0,    0
   234,   722,19290428,   20,    0
   234,   722,19290429,  214,    0
   234,   722,19290430,   56,    0
   234,   722,19290501,   58,    0
   234,   722,19290502,  161,    0
   234,   722,19290503,    0,    0
   234,   722,19290504,    0,    0
   234,   722,19290505,   51,    0
   234,   722,19290506,   77,    0
   234,   722,19290507,   84,    0
   234,   722,19290508,  115,    0
   234,   722,19290509,   15,    0
   234,   722,19290510,    0,    0
   234,   722,19290511,    0,    0
   234,   722,19290512,    2,    0
   234,   722,19290513,   16,    0
   234,   722,19290514,   16,    0
   234,   722,19290515,    2,    0
   234,   722,19290516,    0,    0
   234,   722,19290517,    0,    0
   234,   722,19290518,    0,    0
   234,   722,19290519,   40,    0
   234,   722,19290520,    0,    0
   234,   722,19290521,    0,    0
   234,   722,19290522,    0,    0
   234,   722,19290523,  325,    0
   234,   722,19290524,  269,    0
   234,   722,19290525,    0,    0
   234,   722,19290526,  109,    0
   234,   722,19290527,    4,    0
   234,   722,19290528,    1,    0
   234,   722,19290529,    0,    0
   234,   722,19290530,   11,    0
   234,   722,19290531,   30,    0
   234,   722,19290601,    0,    0
   234,   722,19290602,    0,    0
   234,   722,19290603,   25,    0
   234,   722,19290604,  162,    0
   234,   722,19290605,   44,    0
   234,   722,19290606,    0,    0
   234,   722,19290607,    0,    0
   234,   722,19290608,   32,    0
   234,   722,19290609,  395,    0
   234,   722,19290610,    5,    0
   234,   722,19290611,  176,    0
   234,   722,19290612,   91,    0
   234,   722,19290613,   13,    0
   234,   722,19290614,    0,    0
   234,   722,19290615,    0,    0
   234,   722,19290616,    0,    0
   234,   722,19290617,    0,    0
   234,   722,19290618,    0,    0
   234,   722,19290619,    8,    0
   234,   722,19290620,    0,    0
   234,   722,19290621,    0,    0
   234,   722,19290622,    0,    0
   234,   722,19290623,    0,    0
   234,   722,19290624,    0,    0
   234,   722,19290625,    0,    0
   234,   722,19290626,    0,    0
   234,   722,19290627,    0,    0
   234,   722,19290628,   28,    0
   234,   722,19290629,    8,    0
   234,   722,19290630,    0,    0
   234,   722,19290701,   15,    0
   234,   722,19290702,   23,    0
   234,   722,19290703,   47,    0
   234,   722,19290704,    0,    0
   234,   722,19290705,  222,    0
   234,   722,19290706,   30,    0
   234,   722,19290707,    0,    0
   234,   722,19290708,    0,    0
