EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAGLIARI, ITALY (STAID: 175)
Blended and updated with sources:5258 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
   175,  5258,19990612,   49,    0
   175,  5258,19990613,   60,    0
   175,  5258,19990614,   55,    0
   175,  5258,19990615,   55,    0
   175,  5258,19990616,   73,    0
   175,  5258,19990617,   57,    0
   175,  5258,19990618,   56,    0
   175,  5258,19990619,   58,    0
   175,  5258,19990620,   64,    0
   175,  5258,19990621,   58,    0
   175,  5258,19990622,   51,    0
   175,  5258,19990623,   76,    0
   175,  5258,19990624,   73,    0
   175,  5258,19990625,   73,    0
   175,  5258,19990626,   64,    0
   175,  5258,19990627,   81,    0
   175,  5258,19990628,   59,    0
   175,  5258,19990629,   66,    0
   175,  5258,19990630,   52,    0
   175,  5258,19990701,   59,    0
   175,  5258,19990702,   65,    0
   175,  5258,19990703,   65,    0
   175,  5258,19990704,   37,    0
   175,  5258,19990705,   68,    0
   175,  5258,19990706,   35,    0
   175,  5258,19990707,   59,    0
   175,  5258,19990708,   65,    0
   175,  5258,19990709,   61,    0
   175,  5258,19990710,   60,    0
   175,  5258,19990711,   57,    0
   175,  5258,19990712,   65,    0
   175,  5258,19990713,   70,    0
   175,  5258,19990714,   64,    0
   175,  5258,19990715,   61,    0
   175,  5258,19990716,   59,    0
   175,  5258,19990717,   73,    0
   175,  5258,19990718,   64,    0
   175,  5258,19990719,   37,    0
   175,  5258,19990720,   34,    0
   175,  5258,19990721,   71,    0
   175,  5258,19990722,   58,    0
   175,  5258,19990723,   64,    0
   175,  5258,19990724,   56,    0
   175,  5258,19990725,   54,    0
   175,  5258,19990726,   61,    0
   175,  5258,19990727,   63,    0
   175,  5258,19990728,   60,    0
   175,  5258,19990729,   65,    0
   175,  5258,19990730,   63,    0
   175,  5258,19990731,   70,    0
   175,  5258,19990801,   68,    0
   175,  5258,19990802,   37,    0
   175,  5258,19990803,   77,    0
   175,  5258,19990804,   63,    0
   175,  5258,19990805,   77,    0
   175,  5258,19990806,   73,    0
   175,  5258,19990807,   68,    0
   175,  5258,19990808,   55,    0
   175,  5258,19990809,   56,    0
   175,  5258,19990810,   53,    0
   175,  5258,19990811,   60,    0
   175,  5258,19990812,   37,    0
   175,  5258,19990813,   58,    0
   175,  5258,19990814,   37,    0
   175,  5258,19990815,   60,    0
   175,  5258,19990816,   63,    0
   175,  5258,19990817,   68,    0
   175,  5258,19990818,   63,    0
   175,  5258,19990819,   62,    0
   175,  5258,19990820,   67,    0
   175,  5258,19990821,   69,    0
   175,  5258,19990822,   63,    0
   175,  5258,19990823,   61,    0
   175,  5258,19990824,   70,    0
   175,  5258,19990825,   65,    0
   175,  5258,19990826,   76,    0
   175,  5258,19990827,   55,    0
   175,  5258,19990828,   36,    0
   175,  5258,19990829,-9999,    9
   175,  5258,19990830,-9999,    9
   175,  5258,19990831,   65,    0
   175,  5258,19990901,   60,    0
   175,  5258,19990902,   37,    0
   175,  5258,19990903,   64,    0
   175,  5258,19990904,   76,    0
   175,  5258,19990905,   78,    0
   175,  5258,19990906,   78,    0
   175,  5258,19990907,   65,    0
   175,  5258,19990908,   73,    0
   175,  5258,19990909,   59,    0
   175,  5258,19990910,   55,    0
   175,  5258,19990911,   59,    0
   175,  5258,19990912,   57,    0
   175,  5258,19990913,   63,    0
   175,  5258,19990914,   64,    0
   175,  5258,19990915,   57,    0
   175,  5258,19990916,   62,    0
   175,  5258,19990917,   56,    0
   175,  5258,19990918,   58,    0
   175,  5258,19990919,   67,    0
   175,  5258,19990920,   64,    0
   175,  5258,19990921,   37,    0
   175,  5258,19990922,   63,    0
   175,  5258,19990923,   65,    0
   175,  5258,19990924,   78,    0
   175,  5258,19990925,   72,    0
   175,  5258,19990926,   56,    0
   175,  5258,19990927,   57,    0
