EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRINDISI, ITALY (STAID: 174)
Blended and updated with sources:5253 146008 916320 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
   174,  5253,19990611,   74,    0
   174,  5253,19990612,   90,    0
   174,  5253,19990613,   92,    0
   174,  5253,19990614,   94,    0
   174,  5253,19990615,   90,    0
   174,  5253,19990616,   90,    0
   174,  5253,19990617,   87,    0
   174,  5253,19990618,   87,    0
   174,  5253,19990619,   81,    0
   174,  5253,19990620,   80,    0
   174,  5253,19990621,   82,    0
   174,  5253,19990622,   71,    0
   174,  5253,19990623,   53,    0
   174,  5253,19990624,   65,    0
   174,  5253,19990625,   68,    0
   174,  5253,19990626,   85,    0
   174,  5253,19990627,   74,    0
   174,  5253,19990628,   79,    0
   174,  5253,19990629,   86,    0
   174,  5253,19990630,   82,    0
   174,  5253,19990701,   86,    0
   174,  5253,19990702,   85,    0
   174,  5253,19990703,   82,    0
   174,  5253,19990704,   79,    0
   174,  5253,19990705,   83,    0
   174,  5253,19990706,   72,    0
   174,  5253,19990707,   67,    0
   174,  5253,19990708,   87,    0
   174,  5253,19990709,   84,    0
   174,  5253,19990710,   83,    0
   174,  5253,19990711,   85,    0
   174,  5253,19990712,   87,    0
   174,  5253,19990713,   76,    0
   174,  5253,19990714,   67,    0
   174,  5253,19990715,   84,    0
   174,  5253,19990716,   71,    0
   174,  5253,19990717,   71,    0
   174,  5253,19990718,   78,    0
   174,  5253,19990719,   87,    0
   174,  5253,19990720,   76,    0
   174,  5253,19990721,   79,    0
   174,  5253,19990722,   72,    0
   174,  5253,19990723,   78,    0
   174,  5253,19990724,   82,    0
   174,  5253,19990725,   83,    0
   174,  5253,19990726,   88,    0
   174,  5253,19990727,   84,    0
   174,  5253,19990728,   36,    0
   174,  5253,19990729,   82,    0
   174,  5253,19990730,   80,    0
   174,  5253,19990731,   81,    0
   174,  5253,19990801,   78,    0
   174,  5253,19990802,   86,    0
   174,  5253,19990803,   85,    0
   174,  5253,19990804,   85,    0
   174,  5253,19990805,   65,    0
   174,  5253,19990806,   76,    0
   174,  5253,19990807,   72,    0
   174,  5253,19990808,   36,    0
   174,  5253,19990809,   73,    0
   174,  5253,19990810,   63,    0
   174,  5253,19990811,   64,    0
   174,  5253,19990812,   72,    0
   174,  5253,19990813,   73,    0
   174,  5253,19990814,   81,    0
   174,  5253,19990815,   81,    0
   174,  5253,19990816,   83,    0
   174,  5253,19990817,   65,    0
   174,  5253,19990818,   37,    0
   174,  5253,19990819,   78,    0
   174,  5253,19990820,   71,    0
   174,  5253,19990821,   68,    0
   174,  5253,19990822,   79,    0
   174,  5253,19990823,   76,    0
   174,  5253,19990824,   74,    0
   174,  5253,19990825,   81,    0
   174,  5253,19990826,   38,    0
   174,  5253,19990827,   72,    0
   174,  5253,19990828,   27,    0
   174,  5253,19990829,-9999,    9
   174,  5253,19990830,-9999,    9
   174,  5253,19990831,   85,    0
   174,  5253,19990901,   73,    0
   174,  5253,19990902,   72,    0
   174,  5253,19990903,   65,    0
   174,  5253,19990904,   76,    0
   174,  5253,19990905,   84,    0
   174,  5253,19990906,   78,    0
   174,  5253,19990907,   82,    0
   174,  5253,19990908,   82,    0
   174,  5253,19990909,   82,    0
   174,  5253,19990910,   77,    0
   174,  5253,19990911,   79,    0
   174,  5253,19990912,   80,    0
   174,  5253,19990913,   82,    0
   174,  5253,19990914,   87,    0
   174,  5253,19990915,   37,    0
   174,  5253,19990916,   82,    0
   174,  5253,19990917,   29,    0
   174,  5253,19990918,   87,    0
   174,  5253,19990919,   84,    0
   174,  5253,19990920,   73,    0
   174,  5253,19990921,   80,    0
   174,  5253,19990922,   84,    0
   174,  5253,19990923,   81,    0
   174,  5253,19990924,   36,    0
   174,  5253,19990925,   86,    0
   174,  5253,19990926,   70,    0
   174,  5253,19990927,   86,    0
   174,  5253,19990928,   67,    0
   174,  5253,19990929,   82,    0
   174,  5253,19990930,   86,    0
   174,  5253,19991001,   69,    0
   174,  5253,19991002,   86,    0
   174,  5253,19991003,   83,    0
   174,  5253,19991004,   37,    0
   174,  5253,19991005,   68,    0
   174,  5253,19991006,   67,    0
   174,  5253,19991007,   73,    0
   174,  5253,19991008,   51,    0
   174,  5253,19991009,   66,    0
   174,  5253,19991010,   71,    0
   174,  5253,19991011,   90,    0
   174,  5253,19991012,   84,    0
   174,  5253,19991013,   84,    0
   174,  5253,19991014,   84,    0
   174,  5253,19991015,   84,    0
   174,  5253,19991016,   74,    0
   174,  5253,19991017,   66,    0
   174,  5253,19991018,   78,    0
   174,  5253,19991019,   68,    0
   174,  5253,19991020,   78,    0
   174,  5253,19991021,   68,    0
   174,  5253,19991022,   71,    0
   174,  5253,19991023,   69,    0
   174,  5253,19991024,   73,    0
   174,  5253,19991025,   81,    0
   174,  5253,19991026,   36,    0
   174,  5253,19991027,   67,    0
   174,  5253,19991028,   77,    0
   174,  5253,19991029,   89,    0
   174,  5253,19991030,   88,    0
   174,  5253,19991031,   85,    0
   174,  5253,19991101,   88,    0
   174,  5253,19991102,   88,    0
   174,  5253,19991103,   84,    0
   174,  5253,19991104,   85,    0
   174,  5253,19991105,   70,    0
   174,  5253,19991106,   77,    0
   174,  5253,19991107,   87,    0
   174,  5253,19991108,   82,    0
   174,  5253,19991109,   76,    0
   174,  5253,19991110,   65,    0
   174,  5253,19991111,   75,    0
   174,  5253,19991112,   79,    0
   174,  5253,19991113,   82,    0
   174,  5253,19991114,   80,    0
   174,  5253,19991115,   80,    0
   174,  5253,19991116,   87,    0
   174,  5253,19991117,   72,    0
   174,  5253,19991118,   59,    0
   174,  5253,19991119,   68,    0
   174,  5253,19991120,   70,    0
   174,  5253,19991121,   78,    0
   174,  5253,19991122,   79,    0
   174,  5253,19991123,   72,    0
   174,  5253,19991124,   63,    0
   174,  5253,19991125,   73,    0
   174,  5253,19991126,   64,    0
   174,  5253,19991127,   76,    0
   174,  5253,19991128,   78,    0
   174,  5253,19991129,   77,    0
   174,  5253,19991130,   79,    0
   174,  5253,19991201,   88,    0
   174,  5253,19991202,   78,    0
   174,  5253,19991203,   86,    0
   174,  5253,19991204,   72,    0
   174,  5253,19991205,   83,    0
   174,  5253,19991206,   26,    0
   174,  5253,19991207,   38,    0
   174,  5253,19991208,   70,    0
   174,  5253,19991209,   83,    0
   174,  5253,19991210,   76,    0
   174,  5253,19991211,   83,    0
   174,  5253,19991212,   88,    0
   174,  5253,19991213,   65,    0
   174,  5253,19991214,   59,    0
   174,  5253,19991215,   81,    0
   174,  5253,19991216,   80,    0
   174,  5253,19991217,   93,    0
   174,  5253,19991218,   87,    0
   174,  5253,19991219,   74,    0
   174,  5253,19991220,   72,    0
   174,  5253,19991221,   34,    0
   174,  5253,19991222,   69,    0
   174,  5253,19991223,   56,    0
   174,  5253,19991224,   69,    0
   174,  5253,19991225,   72,    0
   174,  5253,19991226,   81,    0
   174,  5253,19991227,   74,    0
   174,  5253,19991228,   36,    0
   174,  5253,19991229,   66,    0
   174,  5253,19991230,   75,    0
   174,  5253,19991231,   71,    0
   174,  5253,20000101,-9999,    9
   174,  5253,20000102,-9999,    9
   174,  5253,20000103,-9999,    9
   174,  5253,20000104,-9999,    9
   174,  5253,20000105,-9999,    9
   174,  5253,20000106,-9999,    9
   174,  5253,20000107,-9999,    9
   174,  5253,20000108,-9999,    9
   174,  5253,20000109,-9999,    9
   174,  5253,20000110,-9999,    9
   174,  5253,20000111,-9999,    9
   174,  5253,20000112,-9999,    9
   174,  5253,20000113,-9999,    9
   174,  5253,20000114,-9999,    9
   174,  5253,20000115,-9999,    9
   174,  5253,20000116,-9999,    9
   174,  5253,20000117,-9999,    9
   174,  5253,20000118,-9999,    9
   174,  5253,20000119,-9999,    9
   174,  5253,20000120,-9999,    9
   174,  5253,20000121,-9999,    9
   174,  5253,20000122,-9999,    9
   174,  5253,20000123,-9999,    9
   174,  5253,20000124,-9999,    9
   174,  5253,20000125,-9999,    9
   174,  5253,20000126,-9999,    9
   174,  5253,20000127,-9999,    9
   174,  5253,20000128,-9999,    9
   174,  5253,20000129,-9999,    9
   174,  5253,20000130,-9999,    9
   174,  5253,20000131,-9999,    9
   174,  5253,20000201,   86,    0
   174,  5253,20000202,   81,    0
   174,  5253,20000203,   84,    0
   174,  5253,20000204,   55,    0
   174,  5253,20000205,   69,    0
   174,  5253,20000206,   83,    0
   174,  5253,20000207,   83,    0
   174,  5253,20000208,   81,    0
   174,  5253,20000209,   85,    0
   174,  5253,20000210,   86,    0
   174,  5253,20000211,   78,    0
   174,  5253,20000212,   80,    0
   174,  5253,20000213,   86,    0
   174,  5253,20000214,   85,    0
   174,  5253,20000215,   74,    0
   174,  5253,20000216,   66,    0
   174,  5253,20000217,   74,    0
   174,  5253,20000218,   54,    0
   174,  5253,20000219,   75,    0
   174,  5253,20000220,   72,    0
   174,  5253,20000221,   48,    0
   174,  5253,20000222,   45,    0
   174,  5253,20000223,   72,    0
   174,  5253,20000224,   59,    0
   174,  5253,20000225,   49,    0
   174,  5253,20000226,   71,    0
   174,  5253,20000227,   69,    0
   174,  5253,20000228,   54,    0
   174,  5253,20000229,   54,    0
   174,  5253,20000301,   68,    0
   174,  5253,20000302,   86,    0
   174,  5253,20000303,   53,    0
   174,  5253,20000304,   61,    0
