DATE,HU
2008-01-01,83.34327956989247
2008-02-01,74.28448275862068
2008-03-01,74.23761520737327
2008-04-01,71.18333333333334
2008-05-01,71.41935483870968
2008-06-01,72.09166666666667
2008-07-01,61.9516129032258
2008-08-01,62.0
2008-09-01,68.09166666666667
2008-10-01,76.77930107526882
2008-11-01,78.31551724137931
2008-12-01,76.63709677419355
2009-01-01,76.56146953405018
2009-02-01,66.23695054945054
2009-03-01,66.76612903225806
2009-04-01,74.92500000000001
2009-05-01,59.66935483870968
2009-06-01,63.10919540229885
2009-07-01,60.564516129032256
2009-08-01,60.903225806451616
2009-09-01,66.94166666666666
2009-10-01,71.3085553997195
2009-11-01,85.97959770114943
2009-12-01,83.4980533926585
2010-01-01,82.90495391705069
2010-02-01,79.92857142857143
2010-03-01,72.45161290322581
2010-04-01,68.95
2010-05-01,69.9274193548387
2010-06-01,64.94166666666666
2010-07-01,59.56989247311828
2010-08-01,66.18091397849463
2010-09-01,71.65833333333333
2010-10-01,78.20967741935483
2010-11-01,87.2144927536232
2010-12-01,82.5241935483871
2011-01-01,81.2811059907834
2011-02-01,71.90178571428572
2011-03-01,71.02614015572858
2011-04-01,60.275
2011-05-01,60.5241935483871
2011-06-01,67.53518518518518
2011-07-01,63.17365591397849
2011-08-01,57.733870967741936
2011-09-01,66.47298850574713
2011-10-01,69.24193548387096
2011-11-01,81.25833333333333
2011-12-01,77.70161290322581
2012-01-01,73.2741935483871
2012-02-01,69.86206896551724
2012-03-01,60.26129032258065
2012-04-01,72.51666666666665
2012-05-01,64.90322580645162
2012-06-01,59.800000000000004
2012-07-01,55.36290322580645
2012-08-01,55.088709677419345
2012-09-01,72.33333333333333
2012-10-01,80.48387096774195
2012-11-01,83.88189655172414
2012-12-01,82.43548387096774
2013-01-01,85.61290322580646
2013-02-01,76.58928571428572
2013-03-01,78.96774193548387
2013-04-01,74.55833333333334
2013-05-01,73.31229143492769
2013-06-01,62.099999999999994
2013-07-01,60.14193548387097
2013-08-01,58.39516129032258
2013-09-01,68.69166666666666
2013-10-01,84.24193548387098
2013-11-01,80.51759259259259
2013-12-01,81.0725806451613
2014-01-01,87.08064516129033
2014-02-01,84.33928571428572
2014-03-01,70.39516129032259
2014-04-01,71.325
2014-05-01,65.91129032258064
2014-06-01,63.975
2014-07-01,70.76612903225806
2014-08-01,71.76612903225806
2014-09-01,75.31153846153846
2014-10-01,78.1494623655914
2014-11-01,88.47011494252872
2014-12-01,82.78922287390029
2015-01-01,76.87903225806451
2015-02-01,78.41964285714286
2015-03-01,71.41129032258064
2015-04-01,63.11666666666666
2015-05-01,70.89516129032258
2015-06-01,64.39166666666667
2015-07-01,59.59677419354839
2015-08-01,65.58064516129032
2015-09-01,68.65
2015-10-01,82.50806451612904
2015-11-01,79.01666666666667
2015-12-01,84.54838709677418
2016-01-01,77.37903225806451
2016-02-01,82.87931034482759
2016-03-01,73.16935483870968
2016-04-01,70.33333333333334
2016-05-01,70.43548387096774
2016-06-01,71.175
2016-07-01,63.40322580645161
2016-08-01,64.06451612903226
2016-09-01,70.875
2016-10-01,81.83870967741935
2016-11-01,84.13505747126436
2016-12-01,78.82258064516128
2017-01-01,67.53225806451613
2017-02-01,82.53571428571428
2017-03-01,65.16935483870968
2017-04-01,67.38333333333334
2017-05-01,66.59677419354838
2017-06-01,60.65833333333333
2017-07-01,57.766129032258064
2017-08-01,56.55645161290323
2017-09-01,74.575
2017-10-01,71.55645161290322
2017-11-01,81.1
2017-12-01,78.15322580645162
2018-01-01,82.62903225806453
2018-02-01,78.94642857142857
2018-03-01,79.01612903225806
2018-04-01,68.71666666666667
2018-05-01,76.59677419354838
2018-06-01,62.375
2018-07-01,62.266129032258064
2018-08-01,65.53016726403823
2018-09-01,70.6
2018-10-01,77.75
2018-11-01,87.11005747126437
2018-12-01,80.89516129032258
2019-01-01,75.27419354838709
2019-02-01,70.37797619047619
2019-03-01,64.87237026647966
2019-04-01,76.87777777777777
2019-05-01,80.01526497695852
2019-06-01,65.91814814814815
2019-07-01,65.275
2019-08-01,71.375
2019-09-01,76.60833333333333
2019-10-01,84.03225806451613
2019-11-01,91.64166666666667
2019-12-01,84.34677419354838
2020-01-01,81.80645161290322
2020-02-01,71.19827586206897
2020-03-01,75.72580645161291
2020-04-01,65.675
2020-05-01,66.54032258064517
2020-06-01,67.775
2020-07-01,62.62903225806452
2020-08-01,68.20161290322581
2020-09-01,73.45833333333334
2020-10-01,83.7741935483871
2020-11-01,82.40833333333333
2020-12-01,89.93548387096774
2021-01-01,86.01612903225806
2021-02-01,79.82142857142857
2021-03-01,63.99193548387096
2021-04-01,69.74166666666667
2021-05-01,70.83870967741936
2021-06-01,65.84166666666667
2021-07-01,67.74193548387098
2021-08-01,65.73387096774194
2021-09-01,72.49166666666667
2021-10-01,74.74193548387096
2021-11-01,84.45833333333333
2021-12-01,83.3268817204301
2022-01-01,76.71774193548387
2022-02-01,70.0625
2022-03-01,58.782258064516135
2022-04-01,67.0
2022-05-01,67.85483870967742
2022-06-01,60.400000000000006
2022-07-01,55.056451612903224
2022-08-01,61.70967741935484
2022-09-01,71.01666666666667
2022-10-01,77.53225806451613
2022-11-01,83.38333333333334
2022-12-01,89.86290322580646
2023-01-01,81.70967741935485
2023-02-01,70.41071428571429
2023-03-01,70.33064516129032
2023-04-01,67.325
2023-05-01,76.31451612903226
2023-06-01,67.40833333333333
2023-07-01,67.34677419354838
2023-08-01,63.25
2023-09-01,67.84166666666667
2023-10-01,75.03225806451613
2023-11-01,77.95833333333333
2023-12-01,84.94736842105263
2024-01-01,80.33870967741936
2024-02-01,77.0603448275862
2024-03-01,76.84677419354838
2024-04-01,66.11666666666667
2024-05-01,73.2516129032258
2024-06-01,63.92738095238094
2024-07-01,61.10483870967742
2024-08-01,64.95161290322581
2024-09-01,71.48333333333333
2024-10-01,87.12903225806451
2024-11-01,78.81666666666666
2024-12-01,78.41058906030855
