DATE,TG
2008-01-01,77.64516129032258
2008-02-01,78.43678160919539
2008-03-01,109.22580645161288
2008-04-01,139.6
2008-05-01,183.4731182795699
2008-06-01,224.2722222222222
2008-07-01,252.5537634408602
2008-08-01,254.80645161290317
2008-09-01,202.44444444444446
2008-10-01,171.6290322580645
2008-11-01,119.65555555555555
2008-12-01,73.52150537634408
2009-01-01,60.76881720430108
2009-02-01,70.15476190476191
2009-03-01,104.35483870967744
2009-04-01,142.70555555555555
2009-05-01,199.1236559139785
2009-06-01,221.58333333333334
2009-07-01,251.4462365591398
2009-08-01,259.2688172043011
2009-09-01,216.95555555555555
2009-10-01,155.9516129032258
2009-11-01,117.64999999999999
2009-12-01,73.35483870967742
2010-01-01,54.421684587813616
2010-02-01,72.13490059323392
2010-03-01,97.07315412186381
2010-04-01,139.1706349206349
2010-05-01,173.32795698924733
2010-06-01,216.89444444444447
2010-07-01,257.26344086021504
2010-08-01,241.752688172043
2010-09-01,198.8189655172414
2010-10-01,148.39247311827955
2010-11-01,118.90357142857142
2010-12-01,61.06989247311827
2011-01-01,58.026881720430104
2011-02-01,70.97619047619047
2011-03-01,101.29014336917565
2011-04-01,150.5929118773946
2011-05-01,186.28494623655914
2011-06-01,222.96666666666667
2011-07-01,238.57526881720432
2011-08-01,255.91971326164878
2011-09-01,228.41111111111113
2011-10-01,155.68297491039425
2011-11-01,107.14999999999999
2011-12-01,77.74677419354838
2012-01-01,53.58647034716936
2012-02-01,39.54597701149425
2012-03-01,117.43010752688173
2012-04-01,133.87624521072794
2012-05-01,174.78333333333333
2012-06-01,239.3166666666667
2012-07-01,264.0137944767162
2012-08-01,267.28494623655916
2012-09-01,210.29444444444445
2012-10-01,169.88225806451612
2012-11-01,127.90249042145594
2012-12-01,57.87096774193549
2013-01-01,60.09139784946237
2013-02-01,55.970238095238095
2013-03-01,95.10734767025089
2013-04-01,141.8111111111111
2013-05-01,169.13978494623655
2013-06-01,213.77222222222224
2013-07-01,251.0268817204301
2013-08-01,250.54838709677423
2013-09-01,208.75919540229884
2013-10-01,172.45076540070977
2013-11-01,119.22422307364836
2013-12-01,72.71735879372143
2014-01-01,82.49014336917563
2014-02-01,97.48500881834217
2014-03-01,110.17204301075269
2014-04-01,142.55555555555557
2014-05-01,170.88709677419354
2014-06-01,224.12222222222223
2014-07-01,231.05376344086025
2014-08-01,235.6505376344086
2014-09-01,205.50145046524358
2014-10-01,177.18817204301078
2014-11-01,136.49444444444444
2014-12-01,85.4084229390681
2015-01-01,71.48867127496159
2015-02-01,72.98214285714286
2015-03-01,107.59677419354837
2015-04-01,140.06666666666666
2015-05-01,187.79032258064515
2015-06-01,229.75555555555556
2015-07-01,274.3763440860215
2015-08-01,254.91935483870964
2015-09-01,214.5388888888889
2015-10-01,160.9516129032258
2015-11-01,115.67777777777776
2015-12-01,76.3010752688172
2016-01-01,74.49462365591398
2016-02-01,98.11494252873564
2016-03-01,107.57992831541219
2016-04-01,151.18295019157085
2016-05-01,172.98924731182797
2016-06-01,221.14444444444442
2016-07-01,256.9623655913979
2016-08-01,243.98924731182797
2016-09-01,216.10617283950617
2016-10-01,158.7311827956989
2016-11-01,116.25555555555555
2016-12-01,68.95161290322581
2017-01-01,43.97311827956989
2017-02-01,89.16666666666669
2017-03-01,120.85483870967744
2017-04-01,140.8111111111111
2017-05-01,186.88172043010752
2017-06-01,244.83333333333334
2017-07-01,257.87634408602156
2017-08-01,266.12903225806446
2017-09-01,197.6795019157088
2017-10-01,160.99713261648745
2017-11-01,104.07222222222221
2017-12-01,66.03763440860216
2018-01-01,83.51487455197133
2018-02-01,58.40888278388278
2018-03-01,94.25806451612902
2018-04-01,158.4654761904762
2018-05-01,188.57899090157153
2018-06-01,228.1668582375479
2018-07-01,259.39713261648745
2018-08-01,254.5913978494624
2018-09-01,218.55555555555554
2018-10-01,172.22465437788017
2018-11-01,122.5095238095238
2018-12-01,69.27880184331796
2019-01-01,48.06164874551971
2019-02-01,81.14417989417989
2019-03-01,115.3646953405018
