DATE,FG
2008-01-01,27.265232974910393
2008-02-01,26.729885057471265
2008-03-01,36.73476702508961
2008-04-01,35.45185185185185
2008-05-01,29.865591397849464
2008-06-01,25.055555555555557
2008-07-01,28.96415770609319
2008-08-01,27.03763440860215
2008-09-01,28.379629629629633
2008-10-01,24.37096774193548
2008-11-01,32.40185185185185
2008-12-01,33.596774193548384
2009-01-01,30.91935483870968
2009-02-01,34.26785714285714
2009-03-01,38.086021505376344
2009-04-01,30.616666666666667
2009-05-01,26.430107526881724
2009-06-01,30.72592592592592
2009-07-01,26.668458781362006
2009-08-01,25.118279569892472
2009-09-01,27.64814814814815
2009-10-01,28.220430107526884
2009-11-01,27.111111111111107
2009-12-01,37.97849462365592
2010-01-01,32.008960573476706
2010-02-01,36.519841269841265
2010-03-01,32.0089605734767
2010-04-01,27.79074074074074
2010-05-01,32.17204301075269
2010-06-01,28.294444444444444
2010-07-01,26.503584229390682
2010-08-01,26.752688172043012
2010-09-01,28.07222222222222
2010-10-01,28.224014336917563
2010-11-01,30.31666666666667
2010-12-01,33.10394265232975
2011-01-01,24.19534050179211
2011-02-01,30.200396825396826
2011-03-01,31.79390681003584
2011-04-01,27.729629629629628
2011-05-01,28.247311827956985
2011-06-01,27.164814814814815
2011-07-01,29.64874551971326
2011-08-01,25.340501792114694
2011-09-01,25.58888888888889
2011-10-01,27.43010752688172
2011-11-01,26.329629629629625
2011-12-01,34.503584229390675
2012-01-01,30.772401433691755
2012-02-01,35.40229885057471
2012-03-01,28.365591397849457
2012-04-01,33.82037037037037
2012-05-01,29.053763440860216
2012-06-01,26.935185185185187
2012-07-01,29.7258064516129
2012-08-01,26.005376344086017
2012-09-01,28.674074074074074
2012-10-01,25.768817204301072
2012-11-01,29.4462962962963
2012-12-01,34.73297491039426
2013-01-01,33.98028673835126
2013-02-01,35.03174603174603
2013-03-01,37.17383512544802
2013-04-01,31.174074074074074
2013-05-01,35.00358422939067
2013-06-01,29.479629629629635
2013-07-01,27.39068100358423
2013-08-01,28.170250896057343
2013-09-01,26.796296296296294
2013-10-01,24.888888888888886
2013-11-01,33.84444444444444
2013-12-01,25.560931899641577
2014-01-01,32.2652329749104
2014-02-01,33.40873015873015
2014-03-01,30.67741935483871
2014-04-01,30.450000000000003
2014-05-01,29.65591397849462
2014-06-01,28.935185185185187
2014-07-01,31.60035842293907
2014-08-01,29.575268817204304
2014-09-01,27.992592592592594
2014-10-01,28.6989247311828
2014-11-01,29.809259259259257
2014-12-01,31.978494623655916
2015-01-01,34.15770609318996
2015-02-01,37.15873015873016
2015-03-01,38.57706093189964
2015-04-01,33.62592592592593
2015-05-01,31.43010752688172
2015-06-01,29.049999999999997
2015-07-01,28.34408602150538
2015-08-01,28.008960573476703
2015-09-01,33.27777777777778
2015-10-01,30.650537634408604
2015-11-01,27.00185185185185
2015-12-01,19.752688172043015
2016-01-01,33.32974910394265
2016-02-01,38.50574712643678
2016-03-01,37.33691756272402
2016-04-01,34.42962962962962
2016-05-01,34.91756272401434
2016-06-01,30.19814814814815
2016-07-01,30.01433691756273
2016-08-01,30.383512544802873
2016-09-01,27.425287356321835
2016-10-01,29.577060931899634
2016-11-01,32.875925925925934
2016-12-01,27.501792114695338
2017-01-01,37.68458781362008
2017-02-01,31.17063492063492
2017-03-01,33.901433691756274
2017-04-01,33.34444444444445
2017-05-01,30.693548387096776
2017-06-01,28.84259259259259
2017-07-01,31.51792114695341
2017-08-01,29.53584229390681
2017-09-01,34.38518518518518
2017-10-01,29.702508960573475
2017-11-01,34.196296296296296
2017-12-01,39.44444444444444
2018-01-01,36.0089605734767
2018-02-01,35.96888888888889
2018-03-01,37.98931623931624
2018-04-01,30.174074074074074
2018-05-01,27.81720430107527
2018-06-01,30.5
2018-07-01,28.691756272401435
2018-08-01,27.65412186379929
2018-09-01,26.402116402116405
2018-10-01,32.65
2018-11-01,31.18452380952381
2018-12-01,31.09555555555555
2019-01-01,37.6899641577061
2019-02-01,37.68452380952381
2019-03-01,37.02350427350427
2019-04-01,36.89814814814815
2019-05-01,36.56810035842294
2019-06-01,29.522222222222222
2019-07-01,30.06810035842294
2019-08-01,27.03703703703704
2019-09-01,28.54761904761905
2019-10-01,28.773333333333337
2019-11-01,38.26481481481481
2019-12-01,39.06810035842294
2020-01-01,28.394265232974913
2020-02-01,36.816091954022994
2020-03-01,35.17741935483871
2020-04-01,30.120370370370374
2020-05-01,34.10215053763441
2020-06-01,31.887037037037032
2020-07-01,28.182795698924732
2020-08-01,30.229390681003583
2020-09-01,26.222222222222218
2020-10-01,27.37373737373737
2020-11-01,20.327485380116958
2020-12-01,37.19753086419754
2021-01-01,33.894444444444446
2021-02-01,30.656378600823043
2021-03-01,32.215053763440864
2021-04-01,33.61481481481482
2021-05-01,34.166666666666664
2021-06-01,27.549999999999997
2021-07-01,32.07706093189964
2021-08-01,29.92293906810036
2021-09-01,26.457854406130267
2021-10-01,31.247311827956985
2021-11-01,31.840740740740735
2021-12-01,32.901433691756274
2022-01-01,30.956989247311828
2022-02-01,35.2880658436214
2022-03-01,31.546594982078854
2022-04-01,36.12592592592593
2022-05-01,29.193548387096776
2022-06-01,30.355555555555554
2022-07-01,29.501792114695338
2022-08-01,29.636200716845874
2022-09-01,31.590740740740742
2022-10-01,23.940860215053764
2022-11-01,31.02962962962963
2022-12-01,26.14695340501792
2023-01-01,33.38530465949821
2023-02-01,30.36111111111111
2023-03-01,35.08064516129033
2023-04-01,33.74814814814815
2023-05-01,30.621794871794876
2023-06-01,26.994708994708994
2023-07-01,31.193121693121693
2023-08-01,30.944444444444443
2023-09-01,30.505555555555556
2023-10-01,31.27777777777778
2023-11-01,35.83796296296296
2023-12-01,31.35507246376811
2024-01-01,33.84156378600822
2024-02-01,30.335249042145595
2024-03-01,33.56584362139918
2024-04-01,34.688034188034194
2024-05-01,30.7948717948718
2024-06-01,29.18181818181818
2024-07-01,29.046296296296298
2024-08-01,26.593434343434343
2024-09-01,33.72979797979798
2024-10-01,28.021072796934863
2024-11-01,28.52777777777778
2024-12-01,34.02546296296296
