DATE,RR
2008-01-01,17.935483870967744
2008-02-01,7.827586206896552
2008-03-01,25.861042183622825
2008-04-01,25.825
2008-05-01,33.104838709677416
2008-06-01,22.691666666666663
2008-07-01,13.483870967741934
2008-08-01,9.564516129032258
2008-09-01,17.875
2008-10-01,17.08064516129032
2008-11-01,48.66666666666667
2008-12-01,44.09677419354839
2009-01-01,24.900921658986174
2009-02-01,23.758928571428573
2009-03-01,27.008064516129032
2009-04-01,33.15416666666667
2009-05-01,8.782258064516128
2009-06-01,17.675
2009-07-01,12.322580645161292
2009-08-01,9.33064516129032
2009-09-01,24.208333333333332
2009-10-01,22.838709677419352
2009-11-01,26.16666666666667
2009-12-01,36.89285714285714
2010-01-01,24.271505376344088
2010-02-01,35.160714285714285
2010-03-01,27.0
2010-04-01,24.55
2010-05-01,36.685483870967744
2010-06-01,29.933333333333334
2010-07-01,9.556451612903224
2010-08-01,25.24193548387097
2010-09-01,33.81666666666667
2010-10-01,34.11693548387097
2010-11-01,55.02083333333333
2010-12-01,30.951612903225808
2011-01-01,12.75806451612903
2011-02-01,20.330357142857146
2011-03-01,28.588709677419352
2011-04-01,7.591666666666667
2011-05-01,12.14516129032258
2011-06-01,22.758333333333336
2011-07-01,19.145161290322584
2011-08-01,2.564516129032258
2011-09-01,14.15
2011-10-01,26.161290322580644
2011-11-01,15.125
2011-12-01,10.887096774193548
2012-01-01,5.290322580645161
2012-02-01,19.99137931034483
2012-03-01,3.64516129032258
2012-04-01,30.283333333333335
2012-05-01,24.37903225806452
2012-06-01,5.4375
2012-07-01,8.19758064516129
2012-08-01,6.318548387096776
2012-09-01,41.05
2012-10-01,39.25
2012-11-01,43.31666666666666
2012-12-01,13.508064516129034
2013-01-01,28.649193548387096
2013-02-01,29.727678571428573
2013-03-01,51.24193548387096
2013-04-01,29.6875
2013-05-01,34.08467741935484
2013-06-01,14.233333333333336
2013-07-01,10.048387096774194
2013-08-01,18.157258064516128
2013-09-01,13.024999999999999
2013-10-01,43.42338709677419
2013-11-01,39.49008620689656
2013-12-01,9.629032258064516
2014-01-01,50.95967741935484
2014-02-01,42.73660714285714
2014-03-01,25.74596774193548
2014-04-01,30.05416666666666
2014-05-01,14.858870967741934
2014-06-01,33.7875
2014-07-01,33.99193548387097
2014-08-01,18.116935483870968
2014-09-01,23.133333333333333
2014-10-01,16.97983870967742
2014-11-01,44.42500000000001
2014-12-01,26.70967741935484
2015-01-01,7.850806451612903
2015-02-01,45.004464285714285
2015-03-01,34.737903225806456
2015-04-01,21.2375
2015-05-01,26.580645161290324
2015-06-01,20.95
2015-07-01,3.47983870967742
2015-08-01,21.375
2015-09-01,22.570833333333336
2015-10-01,39.09274193548387
2015-11-01,11.379166666666666
2015-12-01,1.064516129032258
2016-01-01,15.040322580645162
2016-02-01,53.43103448275862
2016-03-01,24.467741935483872
2016-04-01,12.25
2016-05-01,33.62096774193549
2016-06-01,25.604166666666668
2016-07-01,15.93548387096774
2016-08-01,12.157258064516128
2016-09-01,18.454166666666666
2016-10-01,35.83870967741936
2016-11-01,31.991666666666664
2016-12-01,3.6048387096774195
2017-01-01,5.682981090100111
2017-02-01,27.401785714285715
2017-03-01,8.431451612903226
2017-04-01,13.370238095238095
2017-05-01,19.02016129032258
2017-06-01,12.935185185185185
2017-07-01,8.645161290322582
2017-08-01,7.040322580645161
2017-09-01,37.412499999999994
2017-10-01,6.4780311457174635
2017-11-01,40.776973684210525
2017-12-01,21.282258064516128
2018-01-01,7.5
2018-02-01,44.89732142857143
2018-03-01,39.016129032258064
2018-04-01,13.704166666666666
2018-05-01,26.69758064516129
2018-06-01,21.904166666666665
2018-07-01,19.870967741935488
2018-08-01,22.741935483870968
2018-09-01,12.754166666666668
2018-10-01,37.04032258064517
2018-11-01,34.05833333333333
2018-12-01,9.935483870967742
2019-01-01,14.69758064516129
2019-02-01,15.535714285714285
2019-03-01,4.907258064516129
2019-04-01,29.900000000000002
2019-05-01,61.57661290322581
2019-06-01,4.970238095238095
2019-07-01,26.008064516129032
2019-08-01,10.691666666666668
2019-09-01,23.541666666666668
2019-10-01,17.476293103448274
2019-11-01,74.51600985221674
2019-12-01,26.720833333333335
2020-01-01,5.71774193548387
2020-02-01,1.9134615384615383
2020-03-01,15.687096774193549
2020-04-01,7.3374999999999995
2020-05-01,13.71774193548387
2020-06-01,27.32083333333333
2020-07-01,16.008064516129032
2020-08-01,26.024193548387096
2020-09-01,21.15416666666667
2020-10-01,35.737903225806456
2020-11-01,9.558333333333334
2020-12-01,52.87096774193548
2021-01-01,28.39516129032258
2021-02-01,9.151785714285714
2021-03-01,5.346774193548387
2021-04-01,20.545833333333334
2021-05-01,20.701612903225808
2021-06-01,8.116666666666665
2021-07-01,20.90725806451613
2021-08-01,13.616935483870968
2021-09-01,15.921296296296296
2021-10-01,12.63709677419355
2021-11-01,38.679166666666674
2021-12-01,19.487903225806452
2022-01-01,12.782258064516128
2022-02-01,8.625000000000002
2022-03-01,8.483870967741936
2022-04-01,21.50416666666667
2022-05-01,15.899193548387098
2022-06-01,7.520833333333333
