DATE,RR
2008-01-01,7.967741935483872
2008-02-01,13.936781609195402
2008-03-01,3.758064516129032
2008-04-01,13.594444444444447
2008-05-01,31.69354838709678
2008-06-01,9.083333333333332
2008-07-01,3.8817204301075274
2008-08-01,1.204301075268817
2008-09-01,12.783333333333333
2008-10-01,33.40322580645161
2008-11-01,18.633333333333336
2008-12-01,17.7258064516129
2009-01-01,17.93010752688172
2009-02-01,16.93452380952381
2009-03-01,16.9247311827957
2009-04-01,18.822222222222223
2009-05-01,2.1129032258064515
2009-06-01,2.5111111111111115
2009-07-01,4.650537634408602
2009-08-01,4.387096774193549
2009-09-01,23.311111111111106
2009-10-01,15.198924731182798
2009-11-01,3.1777777777777776
2009-12-01,47.46774193548387
2010-01-01,32.39247311827957
2010-02-01,42.875
2010-03-01,23.752688172043012
2010-04-01,15.77222222222222
2010-05-01,18.231182795698924
2010-06-01,7.2
2010-07-01,0.6935483870967741
2010-08-01,7.21505376344086
2010-09-01,11.833333333333334
2010-10-01,20.21505376344086
2010-11-01,19.155555555555555
2010-12-01,34.53225806451613
2011-01-01,8.000000000000002
2011-02-01,7.351190476190477
2011-03-01,31.39784946236559
2011-04-01,14.577777777777776
2011-05-01,18.741935483870968
2011-06-01,8.71111111111111
2011-07-01,10.129032258064516
2011-08-01,2.4086021505376345
2011-09-01,7.694444444444444
2011-10-01,15.440860215053762
2011-11-01,39.6
2011-12-01,1.3978494623655913
2012-01-01,5.666666666666667
2012-02-01,1.764367816091954
2012-03-01,9.306451612903226
2012-04-01,15.399999999999999
2012-05-01,4.596774193548387
2012-06-01,0.8333333333333334
2012-07-01,3.8817204301075265
2012-08-01,1.2365591397849462
2012-09-01,17.944444444444443
2012-10-01,31.64516129032258
2012-11-01,26.388888888888886
2012-12-01,4.494623655913978
2013-01-01,9.435483870967742
2013-02-01,21.69642857142857
2013-03-01,34.96236559139785
2013-04-01,17.788888888888888
2013-05-01,7.629032258064517
2013-06-01,4.1722222222222225
2013-07-01,2.7956989247311825
2013-08-01,3.451612903225806
2013-09-01,3.8000000000000007
2013-10-01,9.983870967741934
2013-11-01,18.322222222222223
2013-12-01,9.731182795698922
2014-01-01,14.48924731182796
2014-02-01,10.761904761904761
2014-03-01,7.306451612903227
2014-04-01,12.183333333333335
2014-05-01,5.983870967741936
2014-06-01,6.605555555555554
2014-07-01,5.473118279569892
2014-08-01,4.473118279569892
2014-09-01,21.099999999999998
2014-10-01,9.333333333333334
2014-11-01,32.37222222222222
2014-12-01,6.591397849462367
2015-01-01,7.489247311827957
2015-02-01,6.541666666666668
2015-03-01,19.618279569892476
2015-04-01,8.511111111111111
2015-05-01,3.720430107526882
2015-06-01,5.95
2015-07-01,1.9086021505376343
2015-08-01,4.532258064516129
2015-09-01,15.122222222222222
2015-10-01,21.413978494623652
2015-11-01,14.505555555555555
2015-12-01,1.6505376344086022
2016-01-01,6.413978494623657
2016-02-01,11.821839080459773
2016-03-01,6.344086021505376
2016-04-01,15.972222222222221
2016-05-01,14.908602150537638
2016-06-01,2.088888888888889
2016-07-01,2.2258064516129035
2016-08-01,1.8064516129032258
2016-09-01,7.25
2016-10-01,15.080645161290326
2016-11-01,33.7
2016-12-01,29.032258064516128
