DATE,FG
2008-01-01,29.963709677419356
2008-02-01,32.96551724137932
2008-03-01,45.931451612903224
2008-04-01,43.75833333333334
2008-05-01,39.828629032258064
2008-06-01,39.920833333333334
2008-07-01,44.4375
2008-08-01,42.99193548387097
2008-09-01,33.34166666666667
2008-10-01,35.85282258064516
2008-11-01,33.5
2008-12-01,34.993951612903224
2009-01-01,38.59879032258064
2009-02-01,35.74107142857143
2009-03-01,36.67943548387097
2009-04-01,42.53541666666666
2009-05-01,39.243951612903224
2009-06-01,37.57083333333334
2009-07-01,44.20564516129032
2009-08-01,39.6875
2009-09-01,33.577083333333334
2009-10-01,28.072580645161292
2009-11-01,37.8625
2009-12-01,36.03629032258065
2010-01-01,36.385080645161295
2010-02-01,38.95535714285714
2010-03-01,37.641129032258064
2010-04-01,35.95
2010-05-01,41.292338709677416
2010-06-01,38.60208333333333
2010-07-01,40.09274193548387
2010-08-01,39.02620967741936
2010-09-01,33.672916666666666
2010-10-01,30.75201612903226
2010-11-01,34.693749999999994
2010-12-01,30.97782258064516
2011-01-01,28.719758064516128
2011-02-01,34.886160714285715
2011-03-01,38.05241935483871
2011-04-01,33.110416666666666
2011-05-01,32.35483870967742
2011-06-01,38.51041666666667
2011-07-01,42.41532258064516
2011-08-01,38.09879032258064
2011-09-01,30.877083333333335
2011-10-01,27.792338709677416
2011-11-01,29.372916666666665
2011-12-01,31.070564516129032
2012-01-01,25.429435483870968
2012-02-01,35.10775862068966
2012-03-01,35.12096774193549
2012-04-01,43.82291666666667
2012-05-01,36.69153225806451
2012-06-01,43.168749999999996
2012-07-01,42.64919354838709
2012-08-01,40.04435483870968
2012-09-01,32.46041666666667
2012-10-01,27.77016129032258
2012-11-01,30.525
2012-12-01,29.870967741935488
2013-01-01,39.02217741935485
2013-02-01,39.386160714285715
2013-03-01,40.44153225806452
2013-04-01,39.0125
2013-05-01,39.30846774193549
2013-06-01,40.802083333333336
2013-07-01,36.66935483870968
2013-08-01,36.59475806451613
2013-09-01,30.458333333333332
2013-10-01,30.407258064516128
2013-11-01,37.01875
2013-12-01,30.9133064516129
2014-01-01,39.56653225806451
2014-02-01,45.435267857142854
2014-03-01,42.931451612903224
2014-04-01,36.83958333333333
2014-05-01,43.01209677419355
2014-06-01,39.69791666666667
2014-07-01,41.318548387096776
2014-08-01,41.76411290322581
2014-09-01,29.260416666666668
2014-10-01,27.655241935483872
2014-11-01,34.55
2014-12-01,29.9375
2015-01-01,35.21370967741936
2015-02-01,46.122767857142854
2015-03-01,38.778225806451616
2015-04-01,36.02916666666667
2015-05-01,40.96774193548387
2015-06-01,36.74583333333334
2015-07-01,42.625
2015-08-01,38.846774193548384
2015-09-01,32.56666666666667
2015-10-01,27.262096774193548
2015-11-01,28.035416666666666
2015-12-01,21.558467741935488
2016-01-01,34.22782258064517
2016-02-01,45.37068965517241
2016-03-01,39.697580645161295
2016-04-01,38.86458333333333
2016-05-01,38.86088709677419
2016-06-01,41.21666666666667
2016-07-01,40.43346774193549
2016-08-01,38.425403225806456
2016-09-01,33.2875
2016-10-01,25.056451612903224
2016-11-01,30.1125
2016-12-01,25.631048387096776
2017-01-01,32.00403225806451
2017-02-01,37.3125
2017-03-01,36.322580645161295
2017-04-01,35.91041666666666
2017-05-01,36.31653225806451
2017-06-01,40.12708333333333
2017-07-01,39.493951612903224
2017-08-01,36.645161290322584
2017-09-01,34.49166666666667
2017-10-01,25.429435483870968
2017-11-01,27.106250000000003
2017-12-01,33.538306451612904
2018-01-01,35.94354838709677
2018-02-01,35.85267857142857
2018-03-01,45.93346774193549
2018-04-01,39.02708333333334
2018-05-01,36.895161290322584
2018-06-01,37.725
2018-07-01,40.36693548387097
2018-08-01,36.391129032258064
2018-09-01,30.766666666666666
2018-10-01,29.50201612903226
2018-11-01,30.266666666666666
2018-12-01,26.127016129032256
2019-01-01,33.19556451612904
2019-02-01,30.41517857142857
2019-03-01,37.122983870967744
2019-04-01,39.87291666666667
2019-05-01,41.45161290322581
2019-06-01,39.875
2019-07-01,40.479838709677416
2019-08-01,38.108870967741936
2019-09-01,34.5375
2019-10-01,29.83266129032258
2019-11-01,41.139583333333334
2019-12-01,32.98588709677419
2020-01-01,29.506048387096772
2020-02-01,29.616379310344826
2020-03-01,39.75806451612904
2020-04-01,32.8875
2020-05-01,34.796370967741936
2020-06-01,37.025
2020-07-01,39.368951612903224
2020-08-01,38.927419354838705
2020-09-01,33.491666666666674
2020-10-01,33.35685483870968
2020-11-01,26.585416666666667
2020-12-01,35.37903225806451
2021-01-01,34.336693548387096
2021-02-01,35.32589285714286
2021-03-01,34.278225806451616
2021-04-01,32.77916666666667
2021-05-01,42.58064516129032
2021-06-01,39.77291666666667
2021-07-01,43.87096774193549
2021-08-01,38.39314516129032
2021-09-01,32.69583333333333
2021-10-01,30.82258064516129
2021-11-01,31.9125
2021-12-01,32.1875
2022-01-01,28.195564516129032
2022-02-01,30.65625
2022-03-01,39.528225806451616
2022-04-01,39.48125
2022-05-01,35.997983870967744
2022-06-01,40.66458333333333
2022-07-01,40.76814516129032
2022-08-01,39.909274193548384
2022-09-01,35.06666666666666
2022-10-01,29.55241935483871
2022-11-01,32.547916666666666
2022-12-01,26.469758064516128
2023-01-01,35.00403225806451
2023-02-01,31.22767857142857
2023-03-01,36.993951612903224
2023-04-01,38.52291666666667
2023-05-01,38.846774193548384
2023-06-01,33.41666666666667
2023-07-01,41.54435483870968
2023-08-01,39.336693548387096
2023-09-01,31.88125
2023-10-01,30.45766129032258
2023-11-01,35.45833333333333
2023-12-01,27.699596774193548
2024-01-01,27.782258064516128
2024-02-01,37.16810344827586
2024-03-01,38.050403225806456
2024-04-01,36.31875
2024-05-01,40.31854838709677
2024-06-01,39.61458333333333
2024-07-01,42.516129032258064
2024-08-01,40.73588709677419
2024-09-01,37.43541666666667
2024-10-01,35.288306451612904
2024-11-01,27.325
2024-12-01,29.09879032258064
2025-01-01,34.909274193548384
2025-02-01,29.44419642857143
2025-03-01,38.4676724137931
