DATE,TG
2008-01-01,99.33486943164363
2008-02-01,110.8669950738916
2008-03-01,116.40399385560676
2008-04-01,140.9698412698413
2008-05-01,162.61136712749618
2008-06-01,203.09682539682538
2008-07-01,228.79416282642086
2008-08-01,234.7035330261137
2008-09-01,198.96984126984128
2008-10-01,157.82642089093702
2008-11-01,101.28571428571429
2008-12-01,82.02150537634408
2009-01-01,78.21658986175115
2009-02-01,91.62925170068027
2009-03-01,118.51920122887863
2009-04-01,126.85873015873015
2009-05-01,178.35330261136713
2009-06-01,217.8015873015873
2009-07-01,238.10752688172042
2009-08-01,244.68970814132103
2009-09-01,208.54126984126984
2009-10-01,180.66052227342553
2009-11-01,135.12857142857143
2009-12-01,91.2995391705069
2010-01-01,79.40706605222734
2010-02-01,87.25340136054422
2010-03-01,105.91090629800307
2010-04-01,143.49365079365077
2010-05-01,160.26420890937018
2010-06-01,201.0666666666667
2010-07-01,245.14132104454686
2010-08-01,241.47619047619042
2010-09-01,206.47301587301587
2010-10-01,158.27342549923196
2010-11-01,110.14126984126985
2010-12-01,85.50691244239631
2011-01-01,86.54531490015361
2011-02-01,99.73299319727892
2011-03-01,113.83256528417819
2011-04-01,162.0619047619048
2011-05-01,184.18586789554533
2011-06-01,208.2777777777778
2011-07-01,225.72657450076804
2011-08-01,238.37019969278035
2011-09-01,218.84603174603174
2011-10-01,178.57757296466974
2011-11-01,131.94285714285715
2011-12-01,96.79109062980031
2012-01-01,85.53609831029186
2012-02-01,70.92775041050903
2012-03-01,120.2626728110599
2012-04-01,124.17936507936507
2012-05-01,180.03379416282638
2012-06-01,217.35079365079366
2012-07-01,229.83563748079874
2012-08-01,244.4116743471582
2012-09-01,208.93333333333334
2012-10-01,165.07066052227344
2012-11-01,118.03492063492062
2012-12-01,96.60061443932412
2013-01-01,91.98771121351767
2013-02-01,86.1904761904762
2013-03-01,112.82795698924731
2013-04-01,131.43809523809526
2013-05-01,147.78648233486942
2013-06-01,193.4111111111111
2013-07-01,242.2365591397849
2013-08-01,238.1029185867896
2013-09-01,214.23015873015868
2013-10-01,180.88632872503842
2013-11-01,115.26666666666668
2013-12-01,86.76497695852535
2014-01-01,99.92780337941629
2014-02-01,95.96428571428571
2014-03-01,118.65591397849464
2014-04-01,156.8571428571429
2014-05-01,169.7726574500768
2014-06-01,209.5603174603175
2014-07-01,228.28725038402462
2014-08-01,234.02918586789556
2014-09-01,219.02698412698416
2014-10-01,189.29339477726575
2014-11-01,132.14603174603175
2014-12-01,89.56067588325654
2015-01-01,81.6205837173579
2015-02-01,81.85714285714286
2015-03-01,119.49769585253456
2015-04-01,147.53174603174602
2015-05-01,185.30721966205837
2015-06-01,218.63809523809522
2015-07-01,254.84792626728108
2015-08-01,238.1274961597542
2015-09-01,198.35555555555553
2015-10-01,167.51152073732717
2015-11-01,135.05714285714285
2015-12-01,113.49769585253455
2016-01-01,105.2995391705069
2016-02-01,101.63711001642035
2016-03-01,106.65591397849461
2016-04-01,131.4904761904762
2016-05-01,163.62365591397852
2016-06-01,210.92063492063494
2016-07-01,243.84485407066055
2016-08-01,244.0245775729647
2016-09-01,216.615873015873
2016-10-01,175.76651305683566
2016-11-01,116.79999999999998
2016-12-01,98.74807987711215
2017-01-01,77.44854070660523
2017-02-01,108.44727891156464
2017-03-01,125.91244239631335
2017-04-01,147.40476190476193
2017-05-01,186.5038402457757
2017-06-01,231.16507936507935
2017-07-01,239.52073732718895
2017-08-01,240.7803379416283
2017-09-01,203.0888888888889
2017-10-01,185.7173579109063
2017-11-01,118.06984126984128
2017-12-01,87.40245775729647
2018-01-01,96.4516129032258
2018-02-01,77.25850340136056
2018-03-01,106.93855606758832
2018-04-01,140.2238095238095
2018-05-01,166.17050691244242
2018-06-01,208.04285714285712
2018-07-01,238.23348694316437
2018-08-01,248.50537634408605
2018-09-01,225.77936507936505
2018-10-01,163.50076804915514
2018-11-01,120.67777777777779
2018-12-01,104.22887864823349
2019-01-01,82.73271889400921
2019-02-01,106.06122448979589
2019-03-01,124.78648233486943
2019-04-01,133.12063492063493
2019-05-01,170.41781874039938
2019-06-01,205.668253968254
2019-07-01,244.55606758832562
2019-08-01,241.17665130568358
2019-09-01,212.11428571428564
2019-10-01,175.20122887864827
2019-11-01,119.34761904761903
2019-12-01,108.36098310291858
2020-01-01,89.62672811059907
2020-02-01,123.06403940886698
2020-03-01,121.0599078341014
2020-04-01,145.82857142857142
2020-05-01,189.64669738863287
2020-06-01,205.13650793650794
2020-07-01,248.0522273425499
2020-08-01,241.34562211981566
2020-09-01,209.64761904761906
2020-10-01,156.05990783410135
2020-11-01,134.3936507936508
2020-12-01,94.10445468509984
2021-01-01,77.3179723502304
2021-02-01,116.26020408163265
2021-03-01,118.09523809523812
2021-04-01,136.72857142857143
2021-05-01,168.55299539170508
2021-06-01,208.2650793650794
2021-07-01,232.07373271889398
2021-08-01,239.8755760368664
2021-09-01,211.69206349206348
2021-10-01,170.468509984639
2021-11-01,107.87777777777778
2021-12-01,108.21812596006141
2022-01-01,85.01536098310291
2022-02-01,107.77040816326533
2022-03-01,115.41474654377882
2022-04-01,132.06349206349208
2022-05-01,191.4178187403994
2022-06-01,225.44603174603176
2022-07-01,257.4731182795699
2022-08-01,253.14592933947773
2022-09-01,214.1365079365079
2022-10-01,193.51766513056836
2022-11-01,136.78730158730158
2022-12-01,116.18586789554534
2023-01-01,85.11827956989248
2023-02-01,87.97789115646258
2023-03-01,135.09062980030723
2023-04-01,160.02698412698413
2023-05-01,176.80184331797233
2023-06-01,223.44761904761907
2023-07-01,249.48387096774192
2023-08-01,253.64208909370203
2023-09-01,217.96349206349208
2023-10-01,191.24423963133643
2023-11-01,138.86984126984126
2023-12-01,99.70353302611366
2024-01-01,105.65437788018434
2024-02-01,117.92610837438423
2024-03-01,124.889400921659
2024-04-01,149.06666666666666
2024-05-01,171.79877112135176
2024-06-01,209.45873015873016
2024-07-01,247.33333333333337
2024-08-01,254.78494623655916
2024-09-01,201.56031746031744
2024-10-01,176.95084485407065
2024-11-01,145.84603174603174
2024-12-01,99.38709677419357
2025-01-01,99.96313364055301
2025-02-01,108.98809523809524
2025-03-01,113.36781609195403
